"Run","Tag","Ani","Trt"
"1",113,"K","a"
"1",114,"C","c"
"1",115,"E","e"
"1",116,"S","d"
"1",117,"J","e"
"1",118,"M","c"
"1",119,"F","a"
"1",121,"Q","b"
"2",113,"C","c"
"2",114,"K","a"
"2",115,"S","d"
"2",116,"E","e"
"2",117,"M","c"
"2",118,"J","e"
"2",119,"Q","b"
"2",121,"F","a"
"3",113,"D","d"
"3",114,"L","b"
"3",115,"B","b"
"3",116,"R","c"
"3",117,"I","d"
"3",118,"P","a"
"3",119,"T","e"
"3",121,"H","c"
"4",113,"L","b"
"4",114,"D","d"
"4",115,"R","c"
"4",116,"B","b"
"4",117,"P","a"
"4",118,"I","d"
"4",119,"H","c"
"4",121,"T","e"
"5",113,"O","e"
"5",114,"O","e"
"5",115,"A","a"
"5",116,"A","a"
"5",117,"G","b"
"5",118,"G","b"
"5",119,"N","d"
"5",121,"N","d"
