"Run","Tag","Ani","Trt"
"1",113,"AK","c"
"1",114,"AH","d"
"1",115,"AA","a"
"1",116,"AB","b"
"1",117,"BJ","d"
"1",118,"AC","c"
"1",119,"BG","a"
"1",121,"AN","b"
"2",113,"AH","d"
"2",114,"AK","c"
"2",115,"AB","b"
"2",116,"AA","a"
"2",117,"AC","c"
"2",118,"BJ","d"
"2",119,"AN","b"
"2",121,"BG","a"
"3",113,"AD","d"
"3",114,"BA","c"
"3",115,"AY","a"
"3",116,"AF","b"
"3",117,"BD","b"
"3",118,"AE","a"
"3",119,"AL","d"
"3",121,"BI","c"
"4",113,"BA","c"
"4",114,"AD","d"
"4",115,"AF","b"
"4",116,"AY","a"
"4",117,"AE","a"
"4",118,"BD","b"
"4",119,"BI","c"
"4",121,"AL","d"
"5",113,"AM","a"
"5",114,"AR","b"
"5",115,"AT","d"
"5",116,"AO","c"
"5",117,"BE","c"
"5",118,"BB","d"
"5",119,"AZ","b"
"5",121,"BC","a"
"6",113,"AR","b"
"6",114,"AM","a"
"6",115,"AO","c"
"6",116,"AT","d"
"6",117,"BB","d"
"6",118,"BE","c"
"6",119,"BC","a"
"6",121,"AZ","b"
"7",113,"AU","a"
"7",114,"BH","b"
"7",115,"AG","c"
"7",116,"AQ","a"
"7",117,"AJ","b"
"7",118,"AP","d"
"7",119,"AX","d"
"7",121,"AS","c"
"8",113,"BH","b"
"8",114,"AU","a"
"8",115,"AQ","a"
"8",116,"AG","c"
"8",117,"AP","d"
"8",118,"AJ","b"
"8",119,"AS","c"
"8",121,"AX","d"
"9",113,"AW","c"
"9",114,"AW","c"
"9",115,"BF","d"
"9",116,"BF","d"
"9",117,"AI","a"
"9",118,"AI","a"
"9",119,"AV","b"
"9",121,"AV","b"
