"Run","Tag","Ani","Trt"
"1",114,"AJ","c"
"1",115,"CI","e"
"1",116,"BD","b"
"1",117,"AD","d"
"2",114,"CI","e"
"2",115,"AJ","c"
"2",116,"AD","d"
"2",117,"BD","b"
"3",114,"CG","c"
"3",115,"AP","b"
"3",116,"BC","a"
"3",117,"CJ","f"
"4",114,"AP","b"
"4",115,"CG","c"
"4",116,"CJ","f"
"4",117,"BC","a"
"5",114,"AI","b"
"5",115,"BM","d"
"5",116,"AL","e"
"5",117,"AT","f"
"6",114,"BM","d"
"6",115,"AI","b"
"6",116,"AT","f"
"6",117,"AL","e"
"7",114,"BU","e"
"7",115,"BE","c"
"7",116,"AO","a"
"7",117,"AF","f"
"8",114,"BE","c"
"8",115,"BU","e"
"8",116,"AF","f"
"8",117,"AO","a"
"9",114,"BN","e"
"9",115,"CN","c"
"9",116,"BT","d"
"9",117,"BQ","a"
"10",114,"CN","c"
"10",115,"BN","e"
"10",116,"BQ","a"
"10",117,"BT","d"
"11",114,"AA","a"
"11",115,"BH","f"
"11",116,"AN","g"
"11",117,"AR","d"
"12",114,"BH","f"
"12",115,"AA","a"
"12",116,"AR","d"
"12",117,"AN","g"
"13",114,"CP","e"
"13",115,"BO","f"
"13",116,"BY","b"
"13",117,"CL","a"
"14",114,"BO","f"
"14",115,"CP","e"
"14",116,"CL","a"
"14",117,"BY","b"
"15",114,"CE","a"
"15",115,"BW","g"
"15",116,"AK","d"
"15",117,"CQ","f"
"16",114,"BW","g"
"16",115,"CE","a"
"16",116,"CQ","f"
"16",117,"AK","d"
"17",114,"BF","d"
"17",115,"BV","f"
"17",116,"CF","b"
"17",117,"BB","g"
"18",114,"BV","f"
"18",115,"BF","d"
"18",116,"BB","g"
"18",117,"CF","b"
"19",114,"CH","d"
"19",115,"AB","b"
"19",116,"BZ","c"
"19",117,"BI","g"
"20",114,"AB","b"
"20",115,"CH","d"
"20",116,"BI","g"
"20",117,"BZ","c"
"21",114,"BL","c"
"21",115,"CO","d"
"21",116,"AE","e"
"21",117,"CC","f"
"22",114,"CO","d"
"22",115,"BL","c"
"22",116,"CC","f"
"22",117,"AE","e"
"23",114,"AH","a"
"23",115,"BP","g"
"23",116,"AQ","c"
"23",117,"BR","b"
"24",114,"BP","g"
"24",115,"AH","a"
"24",116,"BR","b"
"24",117,"AQ","c"
"25",114,"AZ","e"
"25",115,"BA","f"
"25",116,"AC","c"
"25",117,"CD","g"
"26",114,"BA","f"
"26",115,"AZ","e"
"26",116,"CD","g"
"26",117,"AC","c"
"27",114,"AM","f"
"27",115,"AW","b"
"27",116,"AX","c"
"27",117,"CK","g"
"28",114,"AW","b"
"28",115,"AM","f"
"28",116,"CK","g"
"28",117,"AX","c"
"29",114,"AU","g"
"29",115,"AY","d"
"29",116,"BS","c"
"29",117,"AV","a"
"30",114,"AY","d"
"30",115,"AU","g"
"30",116,"AV","a"
"30",117,"BS","c"
"31",114,"BJ","a"
"31",115,"CR","g"
"31",116,"BG","e"
"31",117,"BK","b"
"32",114,"CR","g"
"32",115,"BJ","a"
"32",116,"BK","b"
"32",117,"BG","e"
"33",114,"CM","b"
"33",115,"BX","a"
"33",116,"CA","d"
"33",117,"CB","e"
"34",114,"BX","a"
"34",115,"CM","b"
"34",116,"CB","e"
"34",117,"CA","d"
"35",114,"AG","g"
"35",115,"AG","g"
"35",116,"AS","e"
"35",117,"AS","e"
