"Run","Tag","Ani","Trt"
"1",114,"AI","d"
"1",115,"AF","a"
"1",116,"AB","b"
"1",117,"AC","c"
"2",114,"AF","a"
"2",115,"AI","d"
"2",116,"AC","c"
"2",117,"AB","b"
"3",114,"BL","c"
"3",115,"BJ","a"
"3",116,"BA","b"
"3",117,"AO","e"
"4",114,"BJ","a"
"4",115,"BL","c"
"4",116,"AO","e"
"4",117,"BA","b"
"5",114,"BD","e"
"5",115,"BB","c"
"5",116,"BC","d"
"5",117,"AU","a"
"6",114,"BB","c"
"6",115,"BD","e"
"6",116,"AU","a"
"6",117,"BC","d"
"7",114,"AD","d"
"7",115,"AW","c"
"7",116,"AE","e"
"7",117,"BF","b"
"8",114,"AW","c"
"8",115,"AD","d"
"8",116,"BF","b"
"8",117,"AE","e"
"9",114,"BI","e"
"9",115,"BK","b"
"9",116,"BE","a"
"9",117,"AM","c"
"10",114,"BK","b"
"10",115,"BI","e"
"10",116,"AM","c"
"10",117,"BE","a"
"11",114,"BH","d"
"11",115,"AQ","b"
"11",116,"BN","e"
"11",117,"AH","c"
"12",114,"AQ","b"
"12",115,"BH","d"
"12",116,"AH","c"
"12",117,"BN","e"
"13",114,"AG","b"
"13",115,"AS","d"
"13",116,"BG","c"
"13",117,"AP","a"
"14",114,"AS","d"
"14",115,"AG","b"
"14",116,"AP","a"
"14",117,"BG","c"
"15",114,"AA","a"
"15",115,"AR","c"
"15",116,"AX","d"
"15",117,"AJ","e"
"16",114,"AR","c"
"16",115,"AA","a"
"16",116,"AJ","e"
"16",117,"AX","d"
"17",114,"AT","e"
"17",115,"AL","b"
"17",116,"AK","a"
"17",117,"BM","d"
"18",114,"AL","b"
"18",115,"AT","e"
"18",116,"BM","d"
"18",117,"AK","a"
"19",114,"AZ","a"
"19",115,"AY","e"
"19",116,"AN","d"
"19",117,"AV","b"
"20",114,"AY","e"
"20",115,"AZ","a"
"20",116,"AV","b"
"20",117,"AN","d"
