"Run","Tag","Ani","Trt"
"1",114,"J","d"
"1",115,"O","c"
"1",116,"K","e"
"1",117,"L","f"
"2",114,"O","c"
"2",115,"J","d"
"2",116,"L","f"
"2",117,"K","e"
"3",114,"A","a"
"3",115,"B","b"
"3",116,"C","c"
"3",117,"R","f"
"4",114,"B","b"
"4",115,"A","a"
"4",116,"R","f"
"4",117,"C","c"
"5",114,"E","e"
"5",115,"F","f"
"5",116,"M","a"
"5",117,"N","b"
"6",114,"F","f"
"6",115,"E","e"
"6",116,"N","b"
"6",117,"M","a"
"7",114,"Q","e"
"7",115,"I","c"
"7",116,"G","a"
"7",117,"P","d"
"8",114,"I","c"
"8",115,"Q","e"
"8",116,"P","d"
"8",117,"G","a"
"9",114,"H","b"
"9",115,"H","b"
"9",116,"D","d"
"9",117,"D","d"
