"Run","Tag","Ani","Trt"
"1",114,"O","g"
"1",115,"I","a"
"1",116,"E","e"
"1",117,"H","h"
"2",114,"I","a"
"2",115,"O","g"
"2",116,"H","h"
"2",117,"E","e"
"3",114,"J","b"
"3",115,"M","e"
"3",116,"D","d"
"3",117,"F","f"
"4",114,"M","e"
"4",115,"J","b"
"4",116,"F","f"
"4",117,"D","d"
"5",114,"P","h"
"5",115,"N","f"
"5",116,"K","c"
"5",117,"G","g"
"6",114,"N","f"
"6",115,"P","h"
"6",116,"G","g"
"6",117,"K","c"
"7",114,"L","d"
"7",115,"C","c"
"7",116,"A","a"
"7",117,"B","b"
"8",114,"C","c"
"8",115,"L","d"
"8",116,"B","b"
"8",117,"A","a"
