"Run","Tag","Ani","Trt"
"1",114,"AP","d"
"1",115,"BA","c"
"1",116,"BR","b"
"1",117,"BU","e"
"2",114,"BA","c"
"2",115,"AP","d"
"2",116,"BU","e"
"2",117,"BR","b"
"3",114,"AR","f"
"3",115,"AQ","e"
"3",116,"BM","c"
"3",117,"BF","b"
"4",114,"AQ","e"
"4",115,"AR","f"
"4",116,"BF","b"
"4",117,"BM","c"
"5",114,"BT","d"
"5",115,"BK","a"
"5",116,"BV","f"
"5",117,"AC","c"
"6",114,"BK","a"
"6",115,"BT","d"
"6",116,"AC","c"
"6",117,"BV","f"
"7",114,"BS","c"
"7",115,"AV","d"
"7",116,"BQ","a"
"7",117,"AK","e"
"8",114,"AV","d"
"8",115,"BS","c"
"8",116,"AK","e"
"8",117,"BQ","a"
"9",114,"BE","a"
"9",115,"AU","c"
"9",116,"BO","e"
"9",117,"AF","f"
"10",114,"AU","c"
"10",115,"BE","a"
"10",116,"AF","f"
"10",117,"BO","e"
"11",114,"BD","f"
"11",115,"AH","b"
"11",116,"AD","d"
"11",117,"BG","c"
"12",114,"AH","b"
"12",115,"BD","f"
"12",116,"BG","c"
"12",117,"AD","d"
"13",114,"AO","c"
"13",115,"AY","a"
"13",116,"BH","d"
"13",117,"AZ","b"
"14",114,"AY","a"
"14",115,"AO","c"
"14",116,"AZ","b"
"14",117,"BH","d"
"15",114,"AM","a"
"15",115,"BP","f"
"15",116,"AB","b"
"15",117,"BN","d"
"16",114,"BP","f"
"16",115,"AM","a"
"16",116,"BN","d"
"16",117,"AB","b"
"17",114,"BL","b"
"17",115,"AE","e"
"17",116,"AI","c"
"17",117,"AA","a"
"18",114,"AE","e"
"18",115,"BL","b"
"18",116,"AA","a"
"18",117,"AI","c"
"19",114,"AW","e"
"19",115,"AN","b"
"19",116,"AJ","d"
"19",117,"AL","f"
"20",114,"AN","b"
"20",115,"AW","e"
"20",116,"AL","f"
"20",117,"AJ","d"
"21",114,"BC","e"
"21",115,"BB","d"
"21",116,"AG","a"
"21",117,"BJ","f"
"22",114,"BB","d"
"22",115,"BC","e"
"22",116,"BJ","f"
"22",117,"AG","a"
"23",114,"AX","f"
"23",115,"AT","b"
"23",116,"AS","a"
"23",117,"BI","e"
"24",114,"AT","b"
"24",115,"AX","f"
"24",116,"BI","e"
"24",117,"AS","a"
