"Run","Tag","Ani","Trt"
"1",114,"G","a"
"1",115,"N","b"
"1",116,"F","c"
"1",117,"J","a"
"2",114,"N","b"
"2",115,"G","a"
"2",116,"J","a"
"2",117,"F","c"
"3",114,"L","c"
"3",115,"D","a"
"3",116,"I","c"
"3",117,"Q","b"
"4",114,"D","a"
"4",115,"L","c"
"4",116,"Q","b"
"4",117,"I","c"
"5",114,"M","a"
"5",115,"H","b"
"5",116,"A","a"
"5",117,"O","c"
"6",114,"H","b"
"6",115,"M","a"
"6",116,"O","c"
"6",117,"A","a"
"7",114,"X","c"
"7",115,"R","c"
"7",116,"S","a"
"7",117,"W","b"
"8",114,"R","c"
"8",115,"X","c"
"8",116,"W","b"
"8",117,"S","a"
"9",114,"K","b"
"9",115,"B","b"
"9",116,"V","a"
"9",117,"U","c"
"10",114,"B","b"
"10",115,"K","b"
"10",116,"U","c"
"10",117,"V","a"
"11",114,"C","c"
"11",115,"P","a"
"11",116,"E","b"
"11",117,"T","b"
"12",114,"P","a"
"12",115,"C","c"
"12",116,"T","b"
"12",117,"E","b"
