"Run","Tag","Ani","Trt"
"1",114,"BG","a"
"1",115,"AB","b"
"1",116,"AC","c"
"1",117,"AD","d"
"2",114,"AB","b"
"2",115,"BG","a"
"2",116,"AD","d"
"2",117,"AC","c"
"3",114,"AE","a"
"3",115,"AF","b"
"3",116,"AG","c"
"3",117,"AH","d"
"4",114,"AF","b"
"4",115,"AE","a"
"4",116,"AH","d"
"4",117,"AG","c"
"5",114,"AI","a"
"5",115,"AR","b"
"5",116,"AK","c"
"5",117,"AL","d"
"6",114,"AR","b"
"6",115,"AI","a"
"6",116,"AL","d"
"6",117,"AK","c"
"7",114,"AM","a"
"7",115,"AN","b"
"7",116,"AO","c"
"7",117,"AP","d"
"8",114,"AN","b"
"8",115,"AM","a"
"8",116,"AP","d"
"8",117,"AO","c"
"9",114,"AQ","a"
"9",115,"AJ","b"
"9",116,"AS","c"
"9",117,"AT","d"
"10",114,"AJ","b"
"10",115,"AQ","a"
"10",116,"AT","d"
"10",117,"AS","c"
"11",114,"AW","c"
"11",115,"AX","d"
"11",116,"AU","a"
"11",117,"AV","b"
"12",114,"AX","d"
"12",115,"AW","c"
"12",116,"AV","b"
"12",117,"AU","a"
"13",114,"BA","c"
"13",115,"BB","d"
"13",116,"AY","a"
"13",117,"AZ","b"
"14",114,"BB","d"
"14",115,"BA","c"
"14",116,"AZ","b"
"14",117,"AY","a"
"15",114,"BE","c"
"15",115,"BF","d"
"15",116,"BC","a"
"15",117,"BD","b"
"16",114,"BF","d"
"16",115,"BE","c"
"16",116,"BD","b"
"16",117,"BC","a"
"17",114,"BI","c"
"17",115,"BJ","d"
"17",116,"AA","a"
"17",117,"BH","b"
"18",114,"BJ","d"
"18",115,"BI","c"
"18",116,"BH","b"
"18",117,"AA","a"
"19",114,"BM","c"
"19",115,"BN","d"
"19",116,"BK","a"
"19",117,"BL","b"
"20",114,"BN","d"
"20",115,"BM","c"
"20",116,"BL","b"
"20",117,"BK","a"
