"Run","Tag","Ani","Trt"
"1",114,"AB","b"
"1",115,"AU","e"
"1",116,"AW","g"
"1",117,"AP","h"
"2",114,"AU","e"
"2",115,"AB","b"
"2",116,"AP","h"
"2",117,"AW","g"
"3",114,"CS","g"
"3",115,"AQ","a"
"3",116,"CH","d"
"3",117,"CF","b"
"4",114,"AQ","a"
"4",115,"CS","g"
"4",116,"CF","b"
"4",117,"CH","d"
"5",114,"BR","d"
"5",115,"BE","g"
"5",116,"BL","f"
"5",117,"CM","a"
"6",114,"BE","g"
"6",115,"BR","d"
"6",116,"CM","a"
"6",117,"BL","f"
"7",114,"BB","d"
"7",115,"CC","g"
"7",116,"AH","h"
"7",117,"CN","b"
"8",114,"CC","g"
"8",115,"BB","d"
"8",116,"CN","b"
"8",117,"AH","h"
"9",114,"AX","h"
"9",115,"BH","b"
"9",116,"CE","a"
"9",117,"BQ","c"
"10",114,"BH","b"
"10",115,"AX","h"
"10",116,"BQ","c"
"10",117,"CE","a"
"11",114,"BV","h"
"11",115,"CO","c"
"11",116,"CB","f"
"11",117,"AD","d"
"12",114,"CO","c"
"12",115,"BV","h"
"12",116,"AD","d"
"12",117,"CB","f"
"13",114,"AZ","b"
"13",115,"AT","d"
"13",116,"CR","f"
"13",117,"CA","e"
"14",114,"AT","d"
"14",115,"AZ","b"
"14",116,"CA","e"
"14",117,"CR","f"
"15",114,"CL","h"
"15",115,"AV","f"
"15",116,"AY","a"
"15",117,"AO","g"
"16",114,"AV","f"
"16",115,"CL","h"
"16",116,"AO","g"
"16",117,"AY","a"
"17",114,"CJ","f"
"17",115,"AS","c"
"17",116,"BS","e"
"17",117,"AL","d"
"18",114,"AS","c"
"18",115,"CJ","f"
"18",116,"AL","d"
"18",117,"BS","e"
"19",114,"BM","g"
"19",115,"AF","f"
"19",116,"BN","h"
"19",117,"AC","c"
"20",114,"AF","f"
"20",115,"BM","g"
"20",116,"AC","c"
"20",117,"BN","h"
"21",114,"BZ","d"
"21",115,"CD","h"
"21",116,"AM","e"
"21",117,"AA","a"
"22",114,"CD","h"
"22",115,"BZ","d"
"22",116,"AA","a"
"22",117,"AM","e"
"23",114,"BK","e"
"23",115,"BY","c"
"23",116,"CK","g"
"23",117,"AI","a"
"24",114,"BY","c"
"24",115,"BK","e"
"24",116,"AI","a"
"24",117,"CK","g"
"25",114,"BC","e"
"25",115,"BT","f"
"25",116,"CT","h"
"25",117,"BX","b"
"26",114,"BT","f"
"26",115,"BC","e"
"26",116,"BX","b"
"26",117,"CT","h"
"27",114,"AG","g"
"27",115,"CG","c"
"27",116,"AN","f"
"27",117,"AJ","b"
"28",114,"CG","c"
"28",115,"AG","g"
"28",116,"AJ","b"
"28",117,"AN","f"
"29",114,"BP","b"
"29",115,"BO","a"
"29",116,"CQ","e"
"29",117,"BD","f"
"30",114,"BO","a"
"30",115,"BP","b"
"30",116,"BD","f"
"30",117,"CQ","e"
"31",114,"BG","a"
"31",115,"AR","b"
"31",116,"CP","d"
"31",117,"BA","c"
"32",114,"AR","b"
"32",115,"BG","a"
"32",116,"BA","c"
"32",117,"CP","d"
"33",114,"BW","a"
"33",115,"CI","e"
"33",116,"BI","c"
"33",117,"BF","h"
"34",114,"CI","e"
"34",115,"BW","a"
"34",116,"BF","h"
"34",117,"BI","c"
"35",114,"AE","e"
"35",115,"AK","c"
"35",116,"BJ","d"
"35",117,"BU","g"
"36",114,"AK","c"
"36",115,"AE","e"
"36",116,"BU","g"
"36",117,"BJ","d"
