"Run","Tag","Ani","Trt"
"1",113,"AA","a"
"1",114,"AB","b"
"1",115,"AC","c"
"1",116,"AD","d"
"1",117,"AE","a"
"1",118,"AF","b"
"1",119,"AG","c"
"1",121,"AH","d"
"2",113,"AB","b"
"2",114,"AA","a"
"2",115,"AD","d"
"2",116,"AC","c"
"2",117,"AF","b"
"2",118,"AE","a"
"2",119,"AH","d"
"2",121,"AG","c"
"3",113,"AI","a"
"3",114,"AJ","b"
"3",115,"AK","c"
"3",116,"AL","d"
"3",117,"AM","a"
"3",118,"AN","b"
"3",119,"AO","c"
"3",121,"AP","d"
"4",113,"AJ","b"
"4",114,"AI","a"
"4",115,"AL","d"
"4",116,"AK","c"
"4",117,"AN","b"
"4",118,"AM","a"
"4",119,"AP","d"
"4",121,"AO","c"
"5",113,"AS","c"
"5",114,"AT","d"
"5",115,"AQ","a"
"5",116,"AR","b"
"5",117,"AW","c"
"5",118,"AX","d"
"5",119,"AU","a"
"5",121,"AV","b"
"6",113,"AT","d"
"6",114,"AS","c"
"6",115,"AR","b"
"6",116,"AQ","a"
"6",117,"AX","d"
"6",118,"AW","c"
"6",119,"AV","b"
"6",121,"AU","a"
"7",113,"BA","c"
"7",114,"BB","d"
"7",115,"AY","a"
"7",116,"AZ","b"
"7",117,"BE","c"
"7",118,"BF","d"
"7",119,"BC","a"
"7",121,"BD","b"
"8",113,"BB","d"
"8",114,"BA","c"
"8",115,"AZ","b"
"8",116,"AY","a"
"8",117,"BF","d"
"8",118,"BE","c"
"8",119,"BD","b"
"8",121,"BC","a"
