"Run","Tag","Ani","Trt"
"1",114,"K","c"
"1",115,"R","b"
"1",116,"A","a"
"1",117,"L","d"
"2",114,"R","b"
"2",115,"K","c"
"2",116,"L","d"
"2",117,"A","a"
"3",114,"J","b"
"3",115,"T","d"
"3",116,"O","c"
"3",117,"E","a"
"4",114,"T","d"
"4",115,"J","b"
"4",116,"E","a"
"4",117,"O","c"
"5",114,"H","d"
"5",115,"G","c"
"5",116,"F","b"
"5",117,"I","a"
"6",114,"G","c"
"6",115,"H","d"
"6",116,"I","a"
"6",117,"F","b"
"7",114,"Q","a"
"7",115,"P","d"
"7",116,"S","c"
"7",117,"B","b"
"8",114,"P","d"
"8",115,"Q","a"
"8",116,"B","b"
"8",117,"S","c"
"9",114,"M","a"
"9",115,"N","b"
"9",116,"C","c"
"9",117,"D","d"
"10",114,"N","b"
"10",115,"M","a"
"10",116,"D","d"
"10",117,"C","c"
