"Run","Tag","Ani","Trt"
"1",114,"BF","h"
"1",115,"AV","f"
"1",116,"AK","c"
"1",117,"AG","g"
"2",114,"AV","f"
"2",115,"BF","h"
"2",116,"AG","g"
"2",117,"AK","c"
"3",114,"AR","b"
"3",115,"BB","d"
"3",116,"BC","e"
"3",117,"AC","c"
"4",114,"BB","d"
"4",115,"AR","b"
"4",116,"AC","c"
"4",117,"BC","e"
"5",114,"BA","c"
"5",115,"AM","e"
"5",116,"AH","h"
"5",117,"AY","a"
"6",114,"AM","e"
"6",115,"BA","c"
"6",116,"AY","a"
"6",117,"AH","h"
"7",114,"AN","f"
"7",115,"AU","e"
"7",116,"AX","h"
"7",117,"AL","d"
"8",114,"AU","e"
"8",115,"AN","f"
"8",116,"AL","d"
"8",117,"AX","h"
"9",114,"AJ","b"
"9",115,"BJ","d"
"9",116,"AO","g"
"9",117,"AP","h"
"10",114,"BJ","d"
"10",115,"AJ","b"
"10",116,"AP","h"
"10",117,"AO","g"
"11",114,"AI","a"
"11",115,"BM","g"
"11",116,"BK","e"
"11",117,"AT","d"
"12",114,"BM","g"
"12",115,"AI","a"
"12",116,"AT","d"
"12",117,"BK","e"
"13",114,"AQ","a"
"13",115,"BE","g"
"13",116,"BH","b"
"13",117,"AS","c"
"14",114,"BE","g"
"14",115,"AQ","a"
"14",116,"AS","c"
"14",117,"BH","b"
"15",114,"AF","f"
"15",115,"BN","h"
"15",116,"AZ","b"
"15",117,"BG","a"
"16",114,"BN","h"
"16",115,"AF","f"
"16",116,"BG","a"
"16",117,"AZ","b"
"17",114,"AE","e"
"17",115,"AB","b"
"17",116,"BD","f"
"17",117,"AW","g"
"18",114,"AB","b"
"18",115,"AE","e"
"18",116,"AW","g"
"18",117,"BD","f"
"19",114,"BI","c"
"19",115,"AA","a"
"19",116,"BL","f"
"19",117,"AD","d"
"20",114,"AA","a"
"20",115,"BI","c"
"20",116,"AD","d"
"20",117,"BL","f"
