"Run","Tag","Ani","Trt"
"1",113,"AA","a"
"1",114,"AF","f"
"1",115,"AC","c"
"1",116,"AE","e"
"1",117,"AD","d"
"1",118,"AB","b"
"1",119,"AH","h"
"1",121,"AG","g"
"2",113,"AF","f"
"2",114,"AA","a"
"2",115,"AE","e"
"2",116,"AC","c"
"2",117,"AB","b"
"2",118,"AD","d"
"2",119,"AG","g"
"2",121,"AH","h"
"3",113,"AO","g"
"3",114,"AP","h"
"3",115,"AL","d"
"3",116,"AI","a"
"3",117,"AM","e"
"3",118,"AN","f"
"3",119,"AJ","b"
"3",121,"AK","c"
"4",113,"AP","h"
"4",114,"AO","g"
"4",115,"AI","a"
"4",116,"AL","d"
"4",117,"AN","f"
"4",118,"AM","e"
"4",119,"AK","c"
"4",121,"AJ","b"
"5",113,"AR","b"
"5",114,"AT","d"
"5",115,"AX","h"
"5",116,"AQ","a"
"5",117,"AU","e"
"5",118,"AW","g"
"5",119,"AS","c"
"5",121,"AV","f"
"6",113,"AT","d"
"6",114,"AR","b"
"6",115,"AQ","a"
"6",116,"AX","h"
"6",117,"AW","g"
"6",118,"AU","e"
"6",119,"AV","f"
"6",121,"AS","c"
"7",113,"AZ","b"
"7",114,"BB","d"
"7",115,"BE","g"
"7",116,"BF","h"
"7",117,"BA","c"
"7",118,"AY","a"
"7",119,"BC","e"
"7",121,"BD","f"
"8",113,"BB","d"
"8",114,"AZ","b"
"8",115,"BF","h"
"8",116,"BE","g"
"8",117,"AY","a"
"8",118,"BA","c"
"8",119,"BD","f"
"8",121,"BC","e"
"9",113,"BK","e"
"9",114,"BI","c"
"9",115,"BH","b"
"9",116,"BL","f"
"9",117,"BM","g"
"9",118,"BN","h"
"9",119,"BJ","d"
"9",121,"BG","a"
"10",113,"BI","c"
"10",114,"BK","e"
"10",115,"BL","f"
"10",116,"BH","b"
"10",117,"BN","h"
"10",118,"BM","g"
"10",119,"BG","a"
"10",121,"BJ","d"
