"Run","Tag","Ani","Trt"
"1",114,"D","b"
"1",115,"I","a"
"1",116,"S","a"
"1",117,"N","b"
"2",114,"I","a"
"2",115,"D","b"
"2",116,"N","b"
"2",117,"S","a"
"3",114,"T","b"
"3",115,"O","a"
"3",116,"H","b"
"3",117,"Q","a"
"4",114,"O","a"
"4",115,"T","b"
"4",116,"Q","a"
"4",117,"H","b"
"5",114,"M","a"
"5",115,"B","b"
"5",116,"R","b"
"5",117,"E","a"
"6",114,"B","b"
"6",115,"M","a"
"6",116,"E","a"
"6",117,"R","b"
"7",114,"G","a"
"7",115,"J","b"
"7",116,"C","a"
"7",117,"F","b"
"8",114,"J","b"
"8",115,"G","a"
"8",116,"F","b"
"8",117,"C","a"
"9",114,"L","b"
"9",115,"K","a"
"9",116,"P","b"
"9",117,"A","a"
"10",114,"K","a"
"10",115,"L","b"
"10",116,"A","a"
"10",117,"P","b"
