"Run","Tag","Ani","Trt"
"1",114,"AA","a"
"1",115,"AJ","c"
"1",116,"AL","e"
"1",117,"AN","g"
"2",114,"AJ","c"
"2",115,"AA","a"
"2",116,"AN","g"
"2",117,"AL","e"
"3",114,"AU","g"
"3",115,"AK","d"
"3",116,"BA","f"
"3",117,"AV","a"
"4",114,"AK","d"
"4",115,"AU","g"
"4",116,"AV","a"
"4",117,"BA","f"
"5",114,"AH","a"
"5",115,"AW","b"
"5",116,"AZ","e"
"5",117,"AM","f"
"6",114,"AW","b"
"6",115,"AH","a"
"6",116,"AM","f"
"6",117,"AZ","e"
"7",114,"AQ","c"
"7",115,"AD","d"
"7",116,"AO","a"
"7",117,"AB","b"
"8",114,"AD","d"
"8",115,"AQ","c"
"8",116,"AB","b"
"8",117,"AO","a"
"9",114,"AI","b"
"9",115,"AS","e"
"9",116,"AG","g"
"9",117,"AR","d"
"10",114,"AS","e"
"10",115,"AI","b"
"10",116,"AR","d"
"10",117,"AG","g"
"11",114,"BB","g"
"11",115,"AF","f"
"11",116,"AC","c"
"11",117,"AP","b"
"12",114,"AF","f"
"12",115,"BB","g"
"12",116,"AP","b"
"12",117,"AC","c"
"13",114,"AE","e"
"13",115,"AT","f"
"13",116,"AY","d"
"13",117,"AX","c"
"14",114,"AT","f"
"14",115,"AE","e"
"14",116,"AX","c"
"14",117,"AY","d"
