"Run","Tag","Ani","Trt"
"1",113,"BB","d"
"1",114,"AQ","a"
"1",115,"AI","a"
"1",116,"AF","b"
"1",117,"AS","c"
"1",118,"AV","b"
"1",119,"BI","c"
"1",121,"AH","d"
"2",113,"AQ","a"
"2",114,"BB","d"
"2",115,"AF","b"
"2",116,"AI","a"
"2",117,"AV","b"
"2",118,"AS","c"
"2",119,"AH","d"
"2",121,"BI","c"
"3",113,"AJ","b"
"3",114,"AK","c"
"3",115,"AO","c"
"3",116,"AD","d"
"3",117,"BF","d"
"3",118,"AE","a"
"3",119,"AB","b"
"3",121,"BK","a"
"4",113,"AK","c"
"4",114,"AJ","b"
"4",115,"AD","d"
"4",116,"AO","c"
"4",117,"AE","a"
"4",118,"BF","d"
"4",119,"BK","a"
"4",121,"AB","b"
"5",113,"BM","c"
"5",114,"BH","b"
"5",115,"BE","c"
"5",116,"AX","d"
"5",117,"BD","b"
"5",118,"AP","d"
"5",119,"AU","a"
"5",121,"BG","a"
"6",113,"BH","b"
"6",114,"BM","c"
"6",115,"AX","d"
"6",116,"BE","c"
"6",117,"AP","d"
"6",118,"BD","b"
"6",119,"BG","a"
"6",121,"AU","a"
"7",113,"BL","b"
"7",114,"AT","d"
"7",115,"AL","d"
"7",116,"AW","c"
"7",117,"AA","a"
"7",118,"AM","a"
"7",119,"AR","b"
"7",121,"BA","c"
"8",113,"AT","d"
"8",114,"BL","b"
"8",115,"AW","c"
"8",116,"AL","d"
"8",117,"AM","a"
"8",118,"AA","a"
"8",119,"BA","c"
"8",121,"AR","b"
"9",113,"BC","a"
"9",114,"AG","c"
"9",115,"AY","a"
"9",116,"AZ","b"
"9",117,"BJ","d"
"9",118,"AC","c"
"9",119,"BN","d"
"9",121,"AN","b"
"10",113,"AG","c"
"10",114,"BC","a"
"10",115,"AZ","b"
"10",116,"AY","a"
"10",117,"AC","c"
"10",118,"BJ","d"
"10",119,"AN","b"
"10",121,"BN","d"
