"Run","Tag","Ani","Trt"
"1",114,"AP","a"
"1",115,"AH","b"
"1",116,"AQ","b"
"1",117,"BD","c"
"2",114,"AH","b"
"2",115,"AP","a"
"2",116,"BD","c"
"2",117,"AQ","b"
"3",114,"AF","c"
"3",115,"AE","b"
"3",116,"AG","a"
"3",117,"AR","c"
"4",114,"AE","b"
"4",115,"AF","c"
"4",116,"AR","c"
"4",117,"AG","a"
"5",114,"AU","c"
"5",115,"AB","b"
"5",116,"AJ","a"
"5",117,"AC","c"
"6",114,"AB","b"
"6",115,"AU","c"
"6",116,"AC","c"
"6",117,"AJ","a"
"7",114,"AV","a"
"7",115,"AY","a"
"7",116,"AL","c"
"7",117,"AW","b"
"8",114,"AY","a"
"8",115,"AV","a"
"8",116,"AW","b"
"8",117,"AL","c"
"9",114,"AM","a"
"9",115,"AI","c"
"9",116,"BB","a"
"9",117,"AT","b"
"10",114,"AI","c"
"10",115,"AM","a"
"10",116,"AT","b"
"10",117,"BB","a"
"11",114,"AX","c"
"11",115,"AK","b"
"11",116,"AZ","b"
"11",117,"AD","a"
"12",114,"AK","b"
"12",115,"AX","c"
"12",116,"AD","a"
"12",117,"AZ","b"
"13",114,"BC","b"
"13",115,"AS","a"
"13",116,"AN","b"
"13",117,"BA","c"
"14",114,"AS","a"
"14",115,"BC","b"
"14",116,"BA","c"
"14",117,"AN","b"
"15",114,"AO","c"
"15",115,"AO","c"
"15",116,"AA","a"
"15",117,"AA","a"
