"Run","Tag","Ani","Trt"
"1",113,"E","a"
"1",114,"C","a"
"1",115,"L","b"
"1",116,"B","b"
"1",117,"F","b"
"1",118,"I","a"
"1",119,"T","b"
"1",121,"M","a"
"2",113,"C","a"
"2",114,"E","a"
"2",115,"B","b"
"2",116,"L","b"
"2",117,"I","a"
"2",118,"F","b"
"2",119,"M","a"
"2",121,"T","b"
"3",113,"R","b"
"3",114,"J","b"
"3",115,"K","a"
"3",116,"O","a"
"3",117,"A","a"
"3",118,"D","b"
"3",119,"S","a"
"3",121,"P","b"
"4",113,"J","b"
"4",114,"R","b"
"4",115,"O","a"
"4",116,"K","a"
"4",117,"D","b"
"4",118,"A","a"
"4",119,"P","b"
"4",121,"S","a"
"5",113,"Q","a"
"5",114,"Q","a"
"5",115,"N","b"
"5",116,"N","b"
"5",117,"H","b"
"5",118,"H","b"
"5",119,"G","a"
"5",121,"G","a"
