"Run","Tag","Ani","Trt"
"1",114,"BL","f"
"1",115,"AJ","b"
"1",116,"BN","h"
"1",117,"BY","c"
"2",114,"AJ","b"
"2",115,"BL","f"
"2",116,"BY","c"
"2",117,"BN","h"
"3",114,"BA","c"
"3",115,"AL","d"
"3",116,"AN","f"
"3",117,"BC","e"
"4",114,"AL","d"
"4",115,"BA","c"
"4",116,"BC","e"
"4",117,"AN","f"
"5",114,"AA","a"
"5",115,"BV","h"
"5",116,"BB","d"
"5",117,"AE","e"
"6",114,"BV","h"
"6",115,"AA","a"
"6",116,"AE","e"
"6",117,"BB","d"
"7",114,"AQ","a"
"7",115,"AS","c"
"7",116,"AV","f"
"7",117,"AD","d"
"8",114,"AS","c"
"8",115,"AQ","a"
"8",116,"AD","d"
"8",117,"AV","f"
"9",114,"AH","h"
"9",115,"BJ","d"
"9",116,"AG","g"
"9",117,"CB","f"
"10",114,"BJ","d"
"10",115,"AH","h"
"10",116,"CB","f"
"10",117,"AG","g"
"11",114,"BR","d"
"11",115,"BS","e"
"11",116,"AW","g"
"11",117,"AR","b"
"12",114,"BS","e"
"12",115,"BR","d"
"12",116,"AR","b"
"12",117,"AW","g"
"13",114,"BP","b"
"13",115,"BG","a"
"13",116,"BZ","d"
"13",117,"BF","h"
"14",114,"BG","a"
"14",115,"BP","b"
"14",116,"BF","h"
"14",117,"BZ","d"
"15",114,"BD","f"
"15",115,"BK","e"
"15",116,"BX","b"
"15",117,"AX","h"
"16",114,"BK","e"
"16",115,"BD","f"
"16",116,"AX","h"
"16",117,"BX","b"
"17",114,"CC","g"
"17",115,"BT","f"
"17",116,"AM","e"
"17",117,"BO","a"
"18",114,"BT","f"
"18",115,"CC","g"
"18",116,"BO","a"
"18",117,"AM","e"
"19",114,"CA","e"
"19",115,"BI","c"
"19",116,"AY","a"
"19",117,"AZ","b"
"20",114,"BI","c"
"20",115,"CA","e"
"20",116,"AZ","b"
"20",117,"AY","a"
"21",114,"AP","h"
"21",115,"AU","e"
"21",116,"BQ","c"
"21",117,"AO","g"
"22",114,"AU","e"
"22",115,"AP","h"
"22",116,"AO","g"
"22",117,"BQ","c"
"23",114,"AI","a"
"23",115,"CD","h"
"23",116,"BM","g"
"23",117,"AK","c"
"24",114,"CD","h"
"24",115,"AI","a"
"24",116,"AK","c"
"24",117,"BM","g"
"25",114,"BE","g"
"25",115,"AF","f"
"25",116,"BW","a"
"25",117,"BH","b"
"26",114,"AF","f"
"26",115,"BE","g"
"26",116,"BH","b"
"26",117,"BW","a"
"27",114,"AB","b"
"27",115,"BU","g"
"27",116,"AT","d"
"27",117,"AC","c"
"28",114,"BU","g"
"28",115,"AB","b"
"28",116,"AC","c"
"28",117,"AT","d"
