"Run","Tag","Ani","Trt"
"1",113,"V","a"
"1",114,"R","c"
"1",115,"K","b"
"1",116,"F","c"
"1",117,"H","b"
"1",118,"A","a"
"1",119,"G","a"
"1",121,"N","b"
"2",113,"R","c"
"2",114,"V","a"
"2",115,"F","c"
"2",116,"K","b"
"2",117,"A","a"
"2",118,"H","b"
"2",119,"N","b"
"2",121,"G","a"
"3",113,"P","a"
"3",114,"B","b"
"3",115,"E","b"
"3",116,"D","a"
"3",117,"O","c"
"3",118,"W","b"
"3",119,"X","c"
"3",121,"C","c"
"4",113,"B","b"
"4",114,"P","a"
"4",115,"D","a"
"4",116,"E","b"
"4",117,"W","b"
"4",118,"O","c"
"4",119,"C","c"
"4",121,"X","c"
"5",113,"T","b"
"5",114,"U","c"
"5",115,"I","c"
"5",116,"J","a"
"5",117,"S","a"
"5",118,"L","c"
"5",119,"Q","b"
"5",121,"M","a"
"6",113,"U","c"
"6",114,"T","b"
"6",115,"J","a"
"6",116,"I","c"
"6",117,"L","c"
"6",118,"S","a"
"6",119,"M","a"
"6",121,"Q","b"
