"Run","Tag","Ani","Trt"
"1",114,"AT","d"
"1",115,"AB","b"
"1",116,"AQ","a"
"1",117,"BE","c"
"2",114,"AB","b"
"2",115,"AT","d"
"2",116,"BE","c"
"2",117,"AQ","a"
"3",114,"AE","a"
"3",115,"AV","b"
"3",116,"AS","c"
"3",117,"BJ","d"
"4",114,"AV","b"
"4",115,"AE","a"
"4",116,"BJ","d"
"4",117,"AS","c"
"5",114,"AH","d"
"5",115,"AY","a"
"5",116,"AG","c"
"5",117,"AN","b"
"6",114,"AY","a"
"6",115,"AH","d"
"6",116,"AN","b"
"6",117,"AG","c"
"7",114,"AI","a"
"7",115,"BH","b"
"7",116,"BB","d"
"7",117,"BI","c"
"8",114,"BH","b"
"8",115,"AI","a"
"8",116,"BI","c"
"8",117,"BB","d"
"9",114,"AK","c"
"9",115,"AZ","b"
"9",116,"AD","d"
"9",117,"BC","a"
"10",114,"AZ","b"
"10",115,"AK","c"
"10",116,"BC","a"
"10",117,"AD","d"
"11",114,"BA","c"
"11",115,"AL","d"
"11",116,"AJ","b"
"11",117,"AA","a"
"12",114,"AL","d"
"12",115,"BA","c"
"12",116,"AA","a"
"12",117,"AJ","b"
"13",114,"AX","d"
"13",115,"AC","c"
"13",116,"AR","b"
"13",117,"BG","a"
"14",114,"AC","c"
"14",115,"AX","d"
"14",116,"BG","a"
"14",117,"AR","b"
"15",114,"AO","c"
"15",115,"AU","a"
"15",116,"AF","b"
"15",117,"AP","d"
"16",114,"AU","a"
"16",115,"AO","c"
"16",116,"AP","d"
"16",117,"AF","b"
"17",114,"BF","d"
"17",115,"AM","a"
"17",116,"BD","b"
"17",117,"AW","c"
"18",114,"AM","a"
"18",115,"BF","d"
"18",116,"AW","c"
"18",117,"BD","b"
