"Run","Tag","Ani","Trt"
"1",114,"B","b"
"1",115,"D","b"
"1",116,"A","a"
"1",117,"C","a"
"2",114,"D","b"
"2",115,"B","b"
"2",116,"C","a"
"2",117,"A","a"
"3",114,"K","a"
"3",115,"N","b"
"3",116,"M","a"
"3",117,"J","b"
"4",114,"N","b"
"4",115,"K","a"
"4",116,"J","b"
"4",117,"M","a"
"5",114,"P","b"
"5",115,"G","a"
"5",116,"E","a"
"5",117,"R","b"
"6",114,"G","a"
"6",115,"P","b"
"6",116,"R","b"
"6",117,"E","a"
"7",114,"H","b"
"7",115,"O","a"
"7",116,"I","a"
"7",117,"F","b"
"8",114,"O","a"
"8",115,"H","b"
"8",116,"F","b"
"8",117,"I","a"
"9",114,"Q","a"
"9",115,"Q","a"
"9",116,"L","b"
"9",117,"L","b"
