"Run","Tag","Ani","Trt"
"1",113,"Q","a"
"1",114,"S","c"
"1",115,"R","b"
"1",116,"L","d"
"1",117,"V","b"
"1",118,"K","c"
"1",119,"M","a"
"1",121,"P","d"
"2",113,"S","c"
"2",114,"Q","a"
"2",115,"L","d"
"2",116,"R","b"
"2",117,"K","c"
"2",118,"V","b"
"2",119,"P","d"
"2",121,"M","a"
"3",113,"H","d"
"3",114,"U","a"
"3",115,"W","c"
"3",116,"D","d"
"3",117,"C","c"
"3",118,"N","b"
"3",119,"J","b"
"3",121,"A","a"
"4",113,"U","a"
"4",114,"H","d"
"4",115,"D","d"
"4",116,"W","c"
"4",117,"N","b"
"4",118,"C","c"
"4",119,"A","a"
"4",121,"J","b"
"5",113,"B","b"
"5",114,"F","b"
"5",115,"O","c"
"5",116,"E","a"
"5",117,"T","d"
"5",118,"I","a"
"5",119,"X","d"
"5",121,"G","c"
"6",113,"F","b"
"6",114,"B","b"
"6",115,"E","a"
"6",116,"O","c"
"6",117,"I","a"
"6",118,"T","d"
"6",119,"G","c"
"6",121,"X","d"
