"Run","Tag","Ani","Trt"
"1",114,"AP","h"
"1",115,"AN","f"
"1",116,"AS","c"
"1",117,"AJ","b"
"2",114,"AN","f"
"2",115,"AP","h"
"2",116,"AJ","b"
"2",117,"AS","c"
"3",114,"AV","f"
"3",115,"AX","h"
"3",116,"AM","e"
"3",117,"AL","d"
"4",114,"AX","h"
"4",115,"AV","f"
"4",116,"AL","d"
"4",117,"AM","e"
"5",114,"AD","d"
"5",115,"BA","c"
"5",116,"BC","e"
"5",117,"AY","a"
"6",114,"BA","c"
"6",115,"AD","d"
"6",116,"AY","a"
"6",117,"BC","e"
"7",114,"AR","b"
"7",115,"AQ","a"
"7",116,"BF","h"
"7",117,"AT","d"
"8",114,"AQ","a"
"8",115,"AR","b"
"8",116,"AT","d"
"8",117,"BF","h"
"9",114,"BE","g"
"9",115,"AB","b"
"9",116,"AF","f"
"9",117,"AA","a"
"10",114,"AB","b"
"10",115,"BE","g"
"10",116,"AA","a"
"10",117,"AF","f"
"11",114,"AO","g"
"11",115,"BB","d"
"11",116,"AC","c"
"11",117,"BD","f"
"12",114,"BB","d"
"12",115,"AO","g"
"12",116,"BD","f"
"12",117,"AC","c"
"13",114,"AI","a"
"13",115,"AE","e"
"13",116,"AH","h"
"13",117,"AW","g"
"14",114,"AE","e"
"14",115,"AI","a"
"14",116,"AW","g"
"14",117,"AH","h"
"15",114,"AU","e"
"15",115,"AK","c"
"15",116,"AG","g"
"15",117,"AZ","b"
"16",114,"AK","c"
"16",115,"AU","e"
"16",116,"AZ","b"
"16",117,"AG","g"
