"Run","Tag","Cag","Ani","Trt"
"1",113,"1","B","b"
"1",114,"1","E","a"
"1",115,"1","A","a"
"1",116,"1","D","b"
"1",117,"2","E","a"
"1",118,"2","B","b"
"1",119,"2","D","b"
"1",121,"2","A","a"
"2",113,"1","E","a"
"2",114,"1","B","b"
"2",115,"1","D","b"
"2",116,"1","A","a"
"2",117,"2","B","b"
"2",118,"2","E","a"
"2",119,"2","A","a"
"2",121,"2","D","b"
"3",113,"1","F","b"
"3",114,"1","F","b"
"3",115,"1","C","a"
"3",116,"1","C","a"
"3",117,"2","F","b"
"3",118,"2","F","b"
"3",119,"2","C","a"
"3",121,"2","C","a"
