"Run","Tag","Cag","Ani","Trt"
"1",114,"1","A","a"
"1",115,"1","C","c"
"1",116,"4","F","f"
"1",117,"4","B","b"
"2",114,"1","C","c"
"2",115,"1","A","a"
"2",116,"4","B","b"
"2",117,"4","F","f"
"3",114,"1","D","d"
"3",115,"1","F","f"
"3",116,"4","A","a"
"3",117,"4","E","e"
"4",114,"1","F","f"
"4",115,"1","D","d"
"4",116,"4","E","e"
"4",117,"4","A","a"
"5",114,"1","B","b"
"5",115,"1","E","e"
"5",116,"4","C","c"
"5",117,"4","D","d"
"6",114,"1","E","e"
"6",115,"1","B","b"
"6",116,"4","D","d"
"6",117,"4","C","c"
"7",114,"2","B","b"
"7",115,"2","A","a"
"7",116,"5","E","e"
"7",117,"5","C","c"
"8",114,"2","A","a"
"8",115,"2","B","b"
"8",116,"5","C","c"
"8",117,"5","E","e"
"9",114,"2","C","c"
"9",115,"2","F","f"
"9",116,"5","A","a"
"9",117,"5","D","d"
"10",114,"2","F","f"
"10",115,"2","C","c"
"10",116,"5","D","d"
"10",117,"5","A","a"
"11",114,"2","E","e"
"11",115,"2","D","d"
"11",116,"5","B","b"
"11",117,"5","F","f"
"12",114,"2","D","d"
"12",115,"2","E","e"
"12",116,"5","F","f"
"12",117,"5","B","b"
"13",114,"3","C","c"
"13",115,"3","E","e"
"13",116,"6","D","d"
"13",117,"6","A","a"
"14",114,"3","E","e"
"14",115,"3","C","c"
"14",116,"6","A","a"
"14",117,"6","D","d"
"15",114,"3","D","d"
"15",115,"3","B","b"
"15",116,"6","F","f"
"15",117,"6","C","c"
"16",114,"3","B","b"
"16",115,"3","D","d"
"16",116,"6","C","c"
"16",117,"6","F","f"
"17",114,"3","A","a"
"17",115,"3","F","f"
"17",116,"6","E","e"
"17",117,"6","B","b"
"18",114,"3","F","f"
"18",115,"3","A","a"
"18",116,"6","B","b"
"18",117,"6","E","e"
