"Run","Tag","Cag","Ani","Trt"
"1",113,"1","F","f"
"1",114,"1","D","d"
"1",115,"2","C","c"
"1",116,"2","H","b"
"1",117,"3","G","a"
"1",118,"3","E","e"
"1",119,"4","K","e"
"1",121,"4","J","d"
"2",113,"1","D","d"
"2",114,"1","F","f"
"2",115,"2","H","b"
"2",116,"2","C","c"
"2",117,"3","E","e"
"2",118,"3","G","a"
"2",119,"4","J","d"
"2",121,"4","K","e"
"3",113,"1","H","b"
"3",114,"1","I","c"
"3",115,"2","G","a"
"3",116,"2","J","d"
"3",117,"3","I","c"
"3",118,"3","F","f"
"3",119,"4","E","e"
"3",121,"4","F","f"
"4",113,"1","I","c"
"4",114,"1","H","b"
"4",115,"2","J","d"
"4",116,"2","G","a"
"4",117,"3","F","f"
"4",118,"3","I","c"
"4",119,"4","F","f"
"4",121,"4","E","e"
"5",113,"1","L","f"
"5",114,"1","B","b"
"5",115,"2","L","f"
"5",116,"2","E","e"
"5",117,"3","A","a"
"5",118,"3","H","b"
"5",119,"4","C","c"
"5",121,"4","D","d"
"6",113,"1","B","b"
"6",114,"1","L","f"
"6",115,"2","E","e"
"6",116,"2","L","f"
"6",117,"3","H","b"
"6",118,"3","A","a"
"6",119,"4","D","d"
"6",121,"4","C","c"
"7",113,"1","J","d"
"7",114,"1","A","a"
"7",115,"2","F","f"
"7",116,"2","I","c"
"7",117,"3","D","d"
"7",118,"3","K","e"
"7",119,"4","G","a"
"7",121,"4","B","b"
"8",113,"1","A","a"
"8",114,"1","J","d"
"8",115,"2","I","c"
"8",116,"2","F","f"
"8",117,"3","K","e"
"8",118,"3","D","d"
"8",119,"4","B","b"
"8",121,"4","G","a"
"9",113,"1","E","e"
"9",114,"1","C","c"
"9",115,"2","D","d"
"9",116,"2","K","e"
"9",117,"3","C","c"
"9",118,"3","L","f"
"9",119,"4","H","b"
"9",121,"4","A","a"
"10",113,"1","C","c"
"10",114,"1","E","e"
"10",115,"2","K","e"
"10",116,"2","D","d"
"10",117,"3","L","f"
"10",118,"3","C","c"
"10",119,"4","A","a"
"10",121,"4","H","b"
"11",113,"1","K","e"
"11",114,"1","G","a"
"11",115,"2","A","a"
"11",116,"2","B","b"
"11",117,"3","B","b"
"11",118,"3","J","d"
"11",119,"4","L","f"
"11",121,"4","I","c"
"12",113,"1","G","a"
"12",114,"1","K","e"
"12",115,"2","B","b"
"12",116,"2","A","a"
"12",117,"3","J","d"
"12",118,"3","B","b"
"12",119,"4","I","c"
"12",121,"4","L","f"
