"Run","Tag","Cag","Ani","Trt"
"1",113,"1","C","c"
"1",114,"1","H","h"
"1",115,"1","A","a"
"1",116,"1","G","g"
"1",117,"1","D","d"
"1",118,"1","F","f"
"1",119,"1","B","b"
"1",121,"1","E","e"
"2",113,"1","H","h"
"2",114,"1","C","c"
"2",115,"1","G","g"
"2",116,"1","A","a"
"2",117,"1","F","f"
"2",118,"1","D","d"
"2",119,"1","E","e"
"2",121,"1","B","b"
"3",113,"2","D","d"
"3",114,"2","B","b"
"3",115,"2","C","c"
"3",116,"2","H","h"
"3",117,"2","E","e"
"3",118,"2","A","a"
"3",119,"2","G","g"
"3",121,"2","F","f"
"4",113,"2","B","b"
"4",114,"2","D","d"
"4",115,"2","H","h"
"4",116,"2","C","c"
"4",117,"2","A","a"
"4",118,"2","E","e"
"4",119,"2","F","f"
"4",121,"2","G","g"
