"Run","Tag","Cag","Ani","Trt"
"1",114,"1","G","a"
"1",115,"1","E","e"
"1",116,"1","B","b"
"1",117,"1","F","f"
"2",114,"1","E","e"
"2",115,"1","G","a"
"2",116,"1","F","f"
"2",117,"1","B","b"
"3",114,"1","L","f"
"3",115,"1","D","d"
"3",116,"1","C","c"
"3",117,"1","A","a"
"4",114,"1","D","d"
"4",115,"1","L","f"
"4",116,"1","A","a"
"4",117,"1","C","c"
"5",114,"1","H","b"
"5",115,"1","J","d"
"5",116,"1","I","c"
"5",117,"1","K","e"
"6",114,"1","J","d"
"6",115,"1","H","b"
"6",116,"1","K","e"
"6",117,"1","I","c"
"7",114,"2","F","f"
"7",115,"2","B","b"
"7",116,"2","I","c"
"7",117,"2","D","d"
"8",114,"2","B","b"
"8",115,"2","F","f"
"8",116,"2","D","d"
"8",117,"2","I","c"
"9",114,"2","J","d"
"9",115,"2","E","e"
"9",116,"2","G","a"
"9",117,"2","H","b"
"10",114,"2","E","e"
"10",115,"2","J","d"
"10",116,"2","H","b"
"10",117,"2","G","a"
"11",114,"2","C","c"
"11",115,"2","L","f"
"11",116,"2","A","a"
"11",117,"2","K","e"
"12",114,"2","L","f"
"12",115,"2","C","c"
"12",116,"2","K","e"
"12",117,"2","A","a"
"13",114,"3","K","e"
"13",115,"3","C","c"
"13",116,"3","F","f"
"13",117,"3","D","d"
"14",114,"3","C","c"
"14",115,"3","K","e"
"14",116,"3","D","d"
"14",117,"3","F","f"
"15",114,"3","G","a"
"15",115,"3","I","c"
"15",116,"3","E","e"
"15",117,"3","B","b"
"16",114,"3","I","c"
"16",115,"3","G","a"
"16",116,"3","B","b"
"16",117,"3","E","e"
"17",114,"3","H","b"
"17",115,"3","L","f"
"17",116,"3","J","d"
"17",117,"3","A","a"
"18",114,"3","L","f"
"18",115,"3","H","b"
"18",116,"3","A","a"
"18",117,"3","J","d"
"19",114,"4","K","e"
"19",115,"4","C","c"
"19",116,"4","H","b"
"19",117,"4","L","f"
"20",114,"4","C","c"
"20",115,"4","K","e"
"20",116,"4","L","f"
"20",117,"4","H","b"
"21",114,"4","J","d"
"21",115,"4","A","a"
"21",116,"4","F","f"
"21",117,"4","E","e"
"22",114,"4","A","a"
"22",115,"4","J","d"
"22",116,"4","E","e"
"22",117,"4","F","f"
"23",114,"4","G","a"
"23",115,"4","B","b"
"23",116,"4","D","d"
"23",117,"4","I","c"
"24",114,"4","B","b"
"24",115,"4","G","a"
"24",116,"4","I","c"
"24",117,"4","D","d"
