"Run","Tag","Cag","Ani","Trt"
"1",114,"1","I","c"
"1",115,"1","D","a"
"1",116,"2","B","b"
"1",117,"2","L","c"
"2",114,"1","D","a"
"2",115,"1","I","c"
"2",116,"2","L","c"
"2",117,"2","B","b"
"3",114,"1","J","a"
"3",115,"1","F","c"
"3",116,"2","G","a"
"3",117,"2","E","b"
"4",114,"1","F","c"
"4",115,"1","J","a"
"4",116,"2","E","b"
"4",117,"2","G","a"
"5",114,"1","C","c"
"5",115,"1","K","b"
"5",116,"2","H","b"
"5",117,"2","D","a"
"6",114,"1","K","b"
"6",115,"1","C","c"
"6",116,"2","D","a"
"6",117,"2","H","b"
"7",114,"1","B","b"
"7",115,"1","L","c"
"7",116,"2","J","a"
"7",117,"2","K","b"
"8",114,"1","L","c"
"8",115,"1","B","b"
"8",116,"2","K","b"
"8",117,"2","J","a"
"9",114,"1","G","a"
"9",115,"1","H","b"
"9",116,"2","C","c"
"9",117,"2","I","c"
"10",114,"1","H","b"
"10",115,"1","G","a"
"10",116,"2","I","c"
"10",117,"2","C","c"
"11",114,"1","A","a"
"11",115,"1","E","b"
"11",116,"2","F","c"
"11",117,"2","A","a"
"12",114,"1","E","b"
"12",115,"1","A","a"
"12",116,"2","A","a"
"12",117,"2","F","c"
