"Run","Tag","Cag","Ani","Trt"
"1",113,"1","L","d"
"1",114,"1","M","e"
"1",115,"1","P","h"
"1",116,"1","B","b"
"1",117,"2","G","g"
"1",118,"2","A","a"
"1",119,"2","F","f"
"1",121,"2","K","c"
"2",113,"1","M","e"
"2",114,"1","L","d"
"2",115,"1","B","b"
"2",116,"1","P","h"
"2",117,"2","A","a"
"2",118,"2","G","g"
"2",119,"2","K","c"
"2",121,"2","F","f"
"3",113,"1","A","a"
"3",114,"1","N","f"
"3",115,"1","O","g"
"3",116,"1","E","e"
"3",117,"2","C","c"
"3",118,"2","H","h"
"3",119,"2","L","d"
"3",121,"2","J","b"
"4",113,"1","N","f"
"4",114,"1","A","a"
"4",115,"1","E","e"
"4",116,"1","O","g"
"4",117,"2","H","h"
"4",118,"2","C","c"
"4",119,"2","J","b"
"4",121,"2","L","d"
"5",113,"1","G","g"
"5",114,"1","J","b"
"5",115,"1","I","a"
"5",116,"1","C","c"
"5",117,"2","N","f"
"5",118,"2","D","d"
"5",119,"2","M","e"
"5",121,"2","P","h"
"6",113,"1","J","b"
"6",114,"1","G","g"
"6",115,"1","C","c"
"6",116,"1","I","a"
"6",117,"2","D","d"
"6",118,"2","N","f"
"6",119,"2","P","h"
"6",121,"2","M","e"
"7",113,"1","K","c"
"7",114,"1","H","h"
"7",115,"1","F","f"
"7",116,"1","D","d"
"7",117,"2","B","b"
"7",118,"2","E","e"
"7",119,"2","I","a"
"7",121,"2","O","g"
"8",113,"1","H","h"
"8",114,"1","K","c"
"8",115,"1","D","d"
"8",116,"1","F","f"
"8",117,"2","E","e"
"8",118,"2","B","b"
"8",119,"2","O","g"
"8",121,"2","I","a"
