"Run","Tag","Cag","Ani","Trt"
"1",114,"1","A","a"
"1",115,"1","B","b"
"1",116,"1","C","a"
"1",117,"1","D","b"
"2",114,"1","B","b"
"2",115,"1","A","a"
"2",116,"1","D","b"
"2",117,"1","C","a"
"3",114,"2","B","b"
"3",115,"2","A","a"
"3",116,"2","C","a"
"3",117,"2","D","b"
"4",114,"2","A","a"
"4",115,"2","B","b"
"4",116,"2","D","b"
"4",117,"2","C","a"
"5",114,"3","B","b"
"5",115,"3","A","a"
"5",116,"3","C","a"
"5",117,"3","D","b"
"6",114,"3","A","a"
"6",115,"3","B","b"
"6",116,"3","D","b"
"6",117,"3","C","a"
