Run,Tag,Cag,Ani,Trt
1,1,2,A,a
1,2,1,A,a
1,3,1,B,b
1,4,2,D,d
1,5,1,C,c
1,6,2,B,b
1,7,1,D,d
1,8,2,C,c
2,1,1,A,a
2,2,2,A,a
2,3,2,D,d
2,4,1,B,b
2,5,2,B,b
2,6,1,C,c
2,7,2,C,c
2,8,1,D,d
3,1,3,C,c
3,2,4,B,b
3,3,3,B,b
3,4,4,D,d
3,5,4,A,a
3,6,3,D,d
3,7,4,C,c
3,8,3,A,a
4,1,4,B,b
4,2,3,C,c
4,3,4,D,d
4,4,3,B,b
4,5,3,D,d
4,6,4,A,a
4,7,3,A,a
4,8,4,C,c
5,1,5,C,c
5,2,6,D,d
5,3,6,A,a
5,4,5,A,a
5,5,5,B,b
5,6,6,C,c
5,7,6,B,b
5,8,5,D,d
6,1,6,D,d
6,2,5,C,c
6,3,5,A,a
6,4,6,A,a
6,5,6,C,c
6,6,5,B,b
6,7,5,D,d
6,8,6,B,b
7,1,7,B,b
7,2,7,B,b
7,3,7,C,c
7,4,7,C,c
7,5,7,D,d
7,6,7,D,d
7,7,7,A,a
7,8,7,A,a
