"Run","Tag","Cag","Ani","Trt"
"1",113,"2","L","f"
"1",114,"1","E","e"
"1",115,"2","C","c"
"1",116,"1","C","c"
"1",117,"1","F","f"
"1",118,"2","J","d"
"1",119,"2","A","a"
"1",121,"1","B","b"
"2",113,"1","E","e"
"2",114,"2","L","f"
"2",115,"1","C","c"
"2",116,"2","C","c"
"2",117,"2","J","d"
"2",118,"1","F","f"
"2",119,"1","B","b"
"2",121,"2","A","a"
"3",113,"2","B","b"
"3",114,"1","I","c"
"3",115,"1","D","d"
"3",116,"1","G","a"
"3",117,"2","K","e"
"3",118,"1","K","e"
"3",119,"2","G","a"
"3",121,"2","F","f"
"4",113,"1","I","c"
"4",114,"2","B","b"
"4",115,"1","G","a"
"4",116,"1","D","d"
"4",117,"1","K","e"
"4",118,"2","K","e"
"4",119,"2","F","f"
"4",121,"2","G","a"
"5",113,"1","J","d"
"5",114,"1","A","a"
"5",115,"1","H","b"
"5",116,"2","H","b"
"5",117,"2","I","c"
"5",118,"2","D","d"
"5",119,"1","L","f"
"5",121,"2","E","e"
"6",113,"1","A","a"
"6",114,"1","J","d"
"6",115,"2","H","b"
"6",116,"1","H","b"
"6",117,"2","D","d"
"6",118,"2","I","c"
"6",119,"2","E","e"
"6",121,"1","L","f"
"7",113,"3","L","f"
"7",114,"3","J","d"
"7",115,"3","A","a"
"7",116,"3","K","e"
"7",117,"3","G","a"
"7",118,"3","B","b"
"7",119,"3","D","d"
"7",121,"3","C","c"
"8",113,"3","J","d"
"8",114,"3","L","f"
"8",115,"3","K","e"
"8",116,"3","A","a"
"8",117,"3","B","b"
"8",118,"3","G","a"
"8",119,"3","C","c"
"8",121,"3","D","d"
"9",113,"3","E","e"
"9",114,"3","E","e"
"9",115,"3","F","f"
"9",116,"3","F","f"
"9",117,"3","I","c"
"9",118,"3","I","c"
"9",119,"3","H","b"
"9",121,"3","H","b"
