"Run","Tag","Cag","Ani","Trt"
"1",114,"1","P","h"
"1",115,"1","J","b"
"1",116,"1","K","c"
"1",117,"1","G","g"
"2",114,"1","J","b"
"2",115,"1","P","h"
"2",116,"1","G","g"
"2",117,"1","K","c"
"3",114,"1","M","e"
"3",115,"1","C","c"
"3",116,"1","H","h"
"3",117,"1","N","f"
"4",114,"1","C","c"
"4",115,"1","M","e"
"4",116,"1","N","f"
"4",117,"1","H","h"
"5",114,"1","E","e"
"5",115,"1","F","f"
"5",116,"1","I","a"
"5",117,"1","L","d"
"6",114,"1","F","f"
"6",115,"1","E","e"
"6",116,"1","L","d"
"6",117,"1","I","a"
"7",114,"1","B","b"
"7",115,"1","O","g"
"7",116,"1","A","a"
"7",117,"1","D","d"
"8",114,"1","O","g"
"8",115,"1","B","b"
"8",116,"1","D","d"
"8",117,"1","A","a"
"9",114,"2","D","d"
"9",115,"2","M","e"
"9",116,"2","G","g"
"9",117,"2","P","h"
"10",114,"2","M","e"
"10",115,"2","D","d"
"10",116,"2","P","h"
"10",117,"2","G","g"
"11",114,"2","L","d"
"11",115,"2","O","g"
"11",116,"2","N","f"
"11",117,"2","K","c"
"12",114,"2","O","g"
"12",115,"2","L","d"
"12",116,"2","K","c"
"12",117,"2","N","f"
"13",114,"2","H","h"
"13",115,"2","B","b"
"13",116,"2","A","a"
"13",117,"2","E","e"
"14",114,"2","B","b"
"14",115,"2","H","h"
"14",116,"2","E","e"
"14",117,"2","A","a"
"15",114,"2","C","c"
"15",115,"2","I","a"
"15",116,"2","F","f"
"15",117,"2","J","b"
"16",114,"2","I","a"
"16",115,"2","C","c"
"16",116,"2","J","b"
"16",117,"2","F","f"
"17",114,"3","N","f"
"17",115,"3","D","d"
"17",116,"3","J","b"
"17",117,"3","H","h"
"18",114,"3","D","d"
"18",115,"3","N","f"
"18",116,"3","H","h"
"18",117,"3","J","b"
"19",114,"3","F","f"
"19",115,"3","O","g"
"19",116,"3","E","e"
"19",117,"3","B","b"
"20",114,"3","O","g"
"20",115,"3","F","f"
"20",116,"3","B","b"
"20",117,"3","E","e"
"21",114,"3","K","c"
"21",115,"3","I","a"
"21",116,"3","M","e"
"21",117,"3","G","g"
"22",114,"3","I","a"
"22",115,"3","K","c"
"22",116,"3","G","g"
"22",117,"3","M","e"
"23",114,"3","P","h"
"23",115,"3","A","a"
"23",116,"3","C","c"
"23",117,"3","L","d"
"24",114,"3","A","a"
"24",115,"3","P","h"
"24",116,"3","L","d"
"24",117,"3","C","c"
