"Run","Tag","Cag","Ani","Trt"
"1",114,"1","J","b"
"1",115,"1","H","h"
"1",116,"2","L","d"
"1",117,"2","M","e"
"2",114,"1","H","h"
"2",115,"1","J","b"
"2",116,"2","M","e"
"2",117,"2","L","d"
"3",114,"1","D","d"
"3",115,"1","G","g"
"3",116,"2","P","h"
"3",117,"2","F","f"
"4",114,"1","G","g"
"4",115,"1","D","d"
"4",116,"2","F","f"
"4",117,"2","P","h"
"5",114,"1","N","f"
"5",115,"1","I","a"
"5",116,"2","K","c"
"5",117,"2","D","d"
"6",114,"1","I","a"
"6",115,"1","N","f"
"6",116,"2","D","d"
"6",117,"2","K","c"
"7",114,"1","M","e"
"7",115,"1","L","d"
"7",116,"2","C","c"
"7",117,"2","O","g"
"8",114,"1","L","d"
"8",115,"1","M","e"
"8",116,"2","O","g"
"8",117,"2","C","c"
"9",114,"1","K","c"
"9",115,"1","F","f"
"9",116,"2","G","g"
"9",117,"2","B","b"
"10",114,"1","F","f"
"10",115,"1","K","c"
"10",116,"2","B","b"
"10",117,"2","G","g"
"11",114,"1","C","c"
"11",115,"1","P","h"
"11",116,"2","I","a"
"11",117,"2","J","b"
"12",114,"1","P","h"
"12",115,"1","C","c"
"12",116,"2","J","b"
"12",117,"2","I","a"
"13",114,"1","A","a"
"13",115,"1","E","e"
"13",116,"2","H","h"
"13",117,"2","N","f"
"14",114,"1","E","e"
"14",115,"1","A","a"
"14",116,"2","N","f"
"14",117,"2","H","h"
"15",114,"1","O","g"
"15",115,"1","B","b"
"15",116,"2","A","a"
"15",117,"2","E","e"
"16",114,"1","B","b"
"16",115,"1","O","g"
"16",116,"2","E","e"
"16",117,"2","A","a"
