"Run","Tag","Cag","Ani","Trt"
"1",114,"1","F","f"
"1",115,"1","K","e"
"1",116,"1","I","c"
"1",117,"1","A","a"
"2",114,"1","K","e"
"2",115,"1","F","f"
"2",116,"1","A","a"
"2",117,"1","I","c"
"3",114,"1","D","d"
"3",115,"1","E","e"
"3",116,"1","C","c"
"3",117,"1","B","b"
"4",114,"1","E","e"
"4",115,"1","D","d"
"4",116,"1","B","b"
"4",117,"1","C","c"
"5",114,"1","H","b"
"5",115,"1","G","a"
"5",116,"1","J","d"
"5",117,"1","L","f"
"6",114,"1","G","a"
"6",115,"1","H","b"
"6",116,"1","L","f"
"6",117,"1","J","d"
"7",114,"2","C","c"
"7",115,"2","D","d"
"7",116,"2","F","f"
"7",117,"2","B","b"
"8",114,"2","D","d"
"8",115,"2","C","c"
"8",116,"2","B","b"
"8",117,"2","F","f"
"9",114,"2","I","c"
"9",115,"2","A","a"
"9",116,"2","E","e"
"9",117,"2","J","d"
"10",114,"2","A","a"
"10",115,"2","I","c"
"10",116,"2","J","d"
"10",117,"2","E","e"
"11",114,"2","G","a"
"11",115,"2","H","b"
"11",116,"2","K","e"
"11",117,"2","L","f"
"12",114,"2","H","b"
"12",115,"2","G","a"
"12",116,"2","L","f"
"12",117,"2","K","e"
"13",114,"3","I","c"
"13",115,"3","F","f"
"13",116,"3","G","a"
"13",117,"3","D","d"
"14",114,"3","F","f"
"14",115,"3","I","c"
"14",116,"3","D","d"
"14",117,"3","G","a"
"15",114,"3","L","f"
"15",115,"3","B","b"
"15",116,"3","E","e"
"15",117,"3","C","c"
"16",114,"3","B","b"
"16",115,"3","L","f"
"16",116,"3","C","c"
"16",117,"3","E","e"
"17",114,"3","J","d"
"17",115,"3","K","e"
"17",116,"3","A","a"
"17",117,"3","H","b"
"18",114,"3","K","e"
"18",115,"3","J","d"
"18",116,"3","H","b"
"18",117,"3","A","a"
