"Run","Tag","Cag","Ani","Trt"
"1",114,"1","D","d"
"1",115,"1","C","c"
"1",116,"1","B","b"
"1",117,"1","A","a"
"2",114,"1","C","c"
"2",115,"1","D","d"
"2",116,"1","A","a"
"2",117,"1","B","b"
"3",114,"2","A","a"
"3",115,"2","C","c"
"3",116,"2","B","b"
"3",117,"2","D","d"
"4",114,"2","C","c"
"4",115,"2","A","a"
"4",116,"2","D","d"
"4",117,"2","B","b"
"5",114,"3","D","d"
"5",115,"3","A","a"
"5",116,"3","B","b"
"5",117,"3","C","c"
"6",114,"3","A","a"
"6",115,"3","D","d"
"6",116,"3","C","c"
"6",117,"3","B","b"
"7",114,"4","A","a"
"7",115,"4","B","b"
"7",116,"4","C","c"
"7",117,"4","D","d"
"8",114,"4","B","b"
"8",115,"4","A","a"
"8",116,"4","D","d"
"8",117,"4","C","c"
"9",114,"5","B","b"
"9",115,"5","C","c"
"9",116,"5","A","a"
"9",117,"5","D","d"
"10",114,"5","C","c"
"10",115,"5","B","b"
"10",116,"5","D","d"
"10",117,"5","A","a"
"11",114,"6","D","d"
"11",115,"6","B","b"
"11",116,"6","A","a"
"11",117,"6","C","c"
"12",114,"6","B","b"
"12",115,"6","D","d"
"12",116,"6","C","c"
"12",117,"6","A","a"
