"Run","Tag","Cag","Ani","Trt"
"1",114,"1","D","b"
"1",115,"1","G","a"
"1",116,"2","G","a"
"1",117,"2","F","b"
"2",114,"1","G","a"
"2",115,"1","D","b"
"2",116,"2","F","b"
"2",117,"2","G","a"
"3",114,"1","A","a"
"3",115,"1","B","b"
"3",116,"2","A","a"
"3",117,"2","H","b"
"4",114,"1","B","b"
"4",115,"1","A","a"
"4",116,"2","H","b"
"4",117,"2","A","a"
"5",114,"1","C","a"
"5",115,"1","H","b"
"5",116,"2","D","b"
"5",117,"2","E","a"
"6",114,"1","H","b"
"6",115,"1","C","a"
"6",116,"2","E","a"
"6",117,"2","D","b"
"7",114,"1","F","b"
"7",115,"1","E","a"
"7",116,"2","B","b"
"7",117,"2","C","a"
"8",114,"1","E","a"
"8",115,"1","F","b"
"8",116,"2","C","a"
"8",117,"2","B","b"
