"Run","Tag","Cag","Ani","Trt"
"1",113,"1","F","f"
"1",114,"1","A","a"
"1",115,"2","G","g"
"1",116,"2","C","c"
"1",117,"3","E","e"
"1",118,"3","D","d"
"1",119,"4","G","g"
"1",121,"4","B","b"
"2",113,"1","A","a"
"2",114,"1","F","f"
"2",115,"2","C","c"
"2",116,"2","G","g"
"2",117,"3","D","d"
"2",118,"3","E","e"
"2",119,"4","B","b"
"2",121,"4","G","g"
"3",113,"1","G","g"
"3",114,"1","E","e"
"3",115,"2","B","b"
"3",116,"2","F","f"
"3",117,"3","C","c"
"3",118,"3","F","f"
"3",119,"4","A","a"
"3",121,"4","D","d"
"4",113,"1","E","e"
"4",114,"1","G","g"
"4",115,"2","F","f"
"4",116,"2","B","b"
"4",117,"3","F","f"
"4",118,"3","C","c"
"4",119,"4","D","d"
"4",121,"4","A","a"
"5",113,"1","C","c"
"5",114,"1","D","d"
"5",115,"2","E","e"
"5",116,"2","A","a"
"5",117,"3","G","g"
"5",118,"3","B","b"
"5",119,"4","F","f"
"5",121,"4","E","e"
"6",113,"1","D","d"
"6",114,"1","C","c"
"6",115,"2","A","a"
"6",116,"2","E","e"
"6",117,"3","B","b"
"6",118,"3","G","g"
"6",119,"4","E","e"
"6",121,"4","F","f"
"7",113,"1","B","b"
"7",114,"1","B","b"
"7",115,"2","D","d"
"7",116,"2","D","d"
"7",117,"3","A","a"
"7",118,"3","A","a"
"7",119,"4","C","c"
"7",121,"4","C","c"
