"Run","Tag","Cag","Ani","Trt"
"1",114,"1","C","c"
"1",115,"2","E","e"
"1",116,"4","B","b"
"1",117,"3","A","a"
"2",114,"2","E","e"
"2",115,"1","C","c"
"2",116,"3","A","a"
"2",117,"4","B","b"
"3",114,"1","B","b"
"3",115,"2","A","a"
"3",116,"3","D","d"
"3",117,"4","C","c"
"4",114,"2","A","a"
"4",115,"1","B","b"
"4",116,"4","C","c"
"4",117,"3","D","d"
"5",114,"1","D","d"
"5",115,"2","B","b"
"5",116,"4","E","e"
"5",117,"3","C","c"
"6",114,"2","B","b"
"6",115,"1","D","d"
"6",116,"3","C","c"
"6",117,"4","E","e"
"7",114,"2","C","c"
"7",115,"1","A","a"
"7",116,"3","E","e"
"7",117,"4","D","d"
"8",114,"1","A","a"
"8",115,"2","C","c"
"8",116,"4","D","d"
"8",117,"3","E","e"
"9",114,"2","D","d"
"9",115,"1","E","e"
"9",116,"4","A","a"
"9",117,"3","B","b"
"10",114,"1","E","e"
"10",115,"2","D","d"
"10",116,"3","B","b"
"10",117,"4","A","a"
