"Run","Tag","Cag","Ani","Trt"
"1",114,"1","B","b"
"1",115,"1","H","h"
"1",116,"3","D","d"
"1",117,"3","A","a"
"2",114,"1","H","h"
"2",115,"1","B","b"
"2",116,"3","A","a"
"2",117,"3","D","d"
"3",114,"1","A","a"
"3",115,"1","F","f"
"3",116,"3","E","e"
"3",117,"3","G","g"
"4",114,"1","F","f"
"4",115,"1","A","a"
"4",116,"3","G","g"
"4",117,"3","E","e"
"5",114,"1","G","g"
"5",115,"1","C","c"
"5",116,"3","B","b"
"5",117,"3","F","f"
"6",114,"1","C","c"
"6",115,"1","G","g"
"6",116,"3","F","f"
"6",117,"3","B","b"
"7",114,"1","E","e"
"7",115,"1","D","d"
"7",116,"3","C","c"
"7",117,"3","H","h"
"8",114,"1","D","d"
"8",115,"1","E","e"
"8",116,"3","H","h"
"8",117,"3","C","c"
"9",114,"2","C","c"
"9",115,"2","A","a"
"9",116,"4","D","d"
"9",117,"4","G","g"
"10",114,"2","A","a"
"10",115,"2","C","c"
"10",116,"4","G","g"
"10",117,"4","D","d"
"11",114,"2","E","e"
"11",115,"2","D","d"
"11",116,"4","F","f"
"11",117,"4","B","b"
"12",114,"2","D","d"
"12",115,"2","E","e"
"12",116,"4","B","b"
"12",117,"4","F","f"
"13",114,"2","G","g"
"13",115,"2","B","b"
"13",116,"4","E","e"
"13",117,"4","H","h"
"14",114,"2","B","b"
"14",115,"2","G","g"
"14",116,"4","H","h"
"14",117,"4","E","e"
"15",114,"2","F","f"
"15",115,"2","H","h"
"15",116,"4","A","a"
"15",117,"4","C","c"
"16",114,"2","H","h"
"16",115,"2","F","f"
"16",116,"4","C","c"
"16",117,"4","A","a"
