"Run","Tag","Cag","Ani","Trt"
"1",113,"1","A","a"
"1",114,"1","D","d"
"1",115,"1","B","b"
"1",116,"1","C","c"
"2",113,"1","D","d"
"2",114,"1","A","a"
"2",115,"1","C","c"
"2",116,"1","B","b"
"3",113,"2","C","c"
"3",114,"2","B","b"
"3",115,"2","A","a"
"3",116,"2","D","d"
"4",113,"2","B","b"
"4",114,"2","C","c"
"4",115,"2","D","d"
"4",116,"2","A","a"
"5",113,"3","C","c"
"5",114,"3","B","b"
"5",115,"3","A","a"
"5",116,"3","D","d"
"6",113,"3","B","b"
"6",114,"3","C","c"
"6",115,"3","D","d"
"6",116,"3","A","a"
"7",113,"4","C","c"
"7",114,"4","B","b"
"7",115,"4","A","a"
"7",116,"4","D","d"
"8",113,"4","B","b"
"8",114,"4","C","c"
"8",115,"4","D","d"
"8",116,"4","A","a"
"9",113,"5","C","c"
"9",114,"5","A","a"
"9",115,"5","D","d"
"9",116,"5","B","b"
"10",113,"5","A","a"
"10",114,"5","C","c"
"10",115,"5","B","b"
"10",116,"5","D","d"
"11",113,"6","B","b"
"11",114,"6","D","d"
"11",115,"6","C","c"
"11",116,"6","A","a"
"12",113,"6","D","d"
"12",114,"6","B","b"
"12",115,"6","A","a"
"12",116,"6","C","c"
"13",113,"7","A","a"
"13",114,"7","D","d"
"13",115,"7","B","b"
"13",116,"7","C","c"
"14",113,"7","D","d"
"14",114,"7","A","a"
"14",115,"7","C","c"
"14",116,"7","B","b"
