"Run","Tag","Cag","Ani","Trt"
"1",114,"1","F","a"
"1",115,"1","E","e"
"1",116,"2","G","b"
"1",117,"2","R","c"
"2",114,"1","E","e"
"2",115,"1","F","a"
"2",116,"2","R","c"
"2",117,"2","G","b"
"3",114,"1","K","a"
"3",115,"1","L","b"
"3",116,"2","O","e"
"3",117,"2","M","c"
"4",114,"1","L","b"
"4",115,"1","K","a"
"4",116,"2","M","c"
"4",117,"2","O","e"
"5",114,"1","I","d"
"5",115,"1","P","a"
"5",116,"2","H","c"
"5",117,"2","J","e"
"6",114,"1","P","a"
"6",115,"1","I","d"
"6",116,"2","J","e"
"6",117,"2","H","c"
"7",114,"1","N","d"
"7",115,"1","H","c"
"7",116,"2","B","b"
"7",117,"2","P","a"
"8",114,"1","H","c"
"8",115,"1","N","d"
"8",116,"2","P","a"
"8",117,"2","B","b"
"9",114,"1","D","d"
"9",115,"1","M","c"
"9",116,"2","E","e"
"9",117,"2","K","a"
"10",114,"1","M","c"
"10",115,"1","D","d"
"10",116,"2","K","a"
"10",117,"2","E","e"
"11",114,"1","A","a"
"11",115,"1","B","b"
"11",116,"2","D","d"
"11",117,"2","C","c"
"12",114,"1","B","b"
"12",115,"1","A","a"
"12",116,"2","C","c"
"12",117,"2","D","d"
"13",114,"1","R","c"
"13",115,"1","T","e"
"13",116,"2","Q","b"
"13",117,"2","I","d"
"14",114,"1","T","e"
"14",115,"1","R","c"
"14",116,"2","I","d"
"14",117,"2","Q","b"
"15",114,"1","S","d"
"15",115,"1","G","b"
"15",116,"2","A","a"
"15",117,"2","T","e"
"16",114,"1","G","b"
"16",115,"1","S","d"
"16",116,"2","T","e"
"16",117,"2","A","a"
"17",114,"1","Q","b"
"17",115,"1","J","e"
"17",116,"2","F","a"
"17",117,"2","N","d"
"18",114,"1","J","e"
"18",115,"1","Q","b"
"18",116,"2","N","d"
"18",117,"2","F","a"
"19",114,"1","O","e"
"19",115,"1","C","c"
"19",116,"2","L","b"
"19",117,"2","S","d"
"20",114,"1","C","c"
"20",115,"1","O","e"
"20",116,"2","S","d"
"20",117,"2","L","b"
