"Run","Tag","Cag","Ani","Trt"
"1",113,"1","A","a"
"1",114,"1","F","b"
"1",115,"1","E","a"
"1",116,"1","B","b"
"1",117,"2","D","b"
"1",118,"2","G","a"
"1",119,"2","H","b"
"1",121,"2","C","a"
"2",113,"1","F","b"
"2",114,"1","A","a"
"2",115,"1","B","b"
"2",116,"1","E","a"
"2",117,"2","G","a"
"2",118,"2","D","b"
"2",119,"2","C","a"
"2",121,"2","H","b"
"3",113,"1","C","a"
"3",114,"1","H","b"
"3",115,"1","D","b"
"3",116,"1","G","a"
"3",117,"2","A","a"
"3",118,"2","F","b"
"3",119,"2","B","b"
"3",121,"2","E","a"
"4",113,"1","H","b"
"4",114,"1","C","a"
"4",115,"1","G","a"
"4",116,"1","D","b"
"4",117,"2","F","b"
"4",118,"2","A","a"
"4",119,"2","E","a"
"4",121,"2","B","b"
