"Run","Tag","Cag","Ani","Trt"
"1",114,"1","A","a"
"1",115,"2","E","e"
"1",116,"4","B","b"
"1",117,"5","C","c"
"2",114,"2","E","e"
"2",115,"1","A","a"
"2",116,"5","C","c"
"2",117,"4","B","b"
"3",114,"2","C","c"
"3",115,"1","B","b"
"3",116,"5","D","d"
"3",117,"4","A","a"
"4",114,"1","B","b"
"4",115,"2","C","c"
"4",116,"4","A","a"
"4",117,"5","D","d"
"5",114,"2","D","d"
"5",115,"1","C","c"
"5",116,"5","B","b"
"5",117,"4","E","e"
"6",114,"1","C","c"
"6",115,"2","D","d"
"6",116,"4","E","e"
"6",117,"5","B","b"
"7",114,"2","B","b"
"7",115,"1","E","e"
"7",116,"4","D","d"
"7",117,"5","A","a"
"8",114,"1","E","e"
"8",115,"2","B","b"
"8",116,"5","A","a"
"8",117,"4","D","d"
"9",114,"2","A","a"
"9",115,"1","D","d"
"9",116,"4","C","c"
"9",117,"5","E","e"
"10",114,"1","D","d"
"10",115,"2","A","a"
"10",116,"5","E","e"
"10",117,"4","C","c"
"11",114,"3","E","e"
"11",115,"3","C","c"
"11",116,"6","A","a"
"11",117,"6","D","d"
"12",114,"3","C","c"
"12",115,"3","E","e"
"12",116,"6","D","d"
"12",117,"6","A","a"
"13",114,"3","D","d"
"13",115,"3","A","a"
"13",116,"6","E","e"
"13",117,"6","B","b"
"14",114,"3","A","a"
"14",115,"3","D","d"
"14",116,"6","B","b"
"14",117,"6","E","e"
"15",114,"3","B","b"
"15",115,"3","B","b"
"15",116,"6","C","c"
"15",117,"6","C","c"
