"Run","Tag","Cag","Ani","Trt"
"1",114,"1","C","c"
"1",115,"1","J","d"
"1",116,"2","H","b"
"1",117,"2","K","e"
"2",114,"1","J","d"
"2",115,"1","C","c"
"2",116,"2","K","e"
"2",117,"2","H","b"
"3",114,"1","B","b"
"3",115,"1","E","e"
"3",116,"2","A","a"
"3",117,"2","C","c"
"4",114,"1","E","e"
"4",115,"1","B","b"
"4",116,"2","C","c"
"4",117,"2","A","a"
"5",114,"1","I","c"
"5",115,"1","A","a"
"5",116,"2","L","f"
"5",117,"2","B","b"
"6",114,"1","A","a"
"6",115,"1","I","c"
"6",116,"2","B","b"
"6",117,"2","L","f"
"7",114,"1","G","a"
"7",115,"1","K","e"
"7",116,"2","F","f"
"7",117,"2","J","d"
"8",114,"1","K","e"
"8",115,"1","G","a"
"8",116,"2","J","d"
"8",117,"2","F","f"
"9",114,"1","L","f"
"9",115,"1","H","b"
"9",116,"2","E","e"
"9",117,"2","D","d"
"10",114,"1","H","b"
"10",115,"1","L","f"
"10",116,"2","D","d"
"10",117,"2","E","e"
"11",114,"1","D","d"
"11",115,"1","F","f"
"11",116,"2","I","c"
"11",117,"2","G","a"
"12",114,"1","F","f"
"12",115,"1","D","d"
"12",116,"2","G","a"
"12",117,"2","I","c"
