"Run","Tag","Cag","Ani","Trt"
"1",NA,"2","A","a"
"1",NA,"1","A","a"
"1",NA,"1","B","b"
"1",NA,"2","D","d"
"1",NA,"1","C","c"
"1",NA,"2","B","b"
"1",NA,"1","D","d"
"1",NA,"2","C","c"
"2",NA,"1","A","a"
"2",NA,"2","A","a"
"2",NA,"2","D","d"
"2",NA,"1","B","b"
"2",NA,"2","B","b"
"2",NA,"1","C","c"
"2",NA,"2","C","c"
"2",NA,"1","D","d"
"3",NA,"3","C","c"
"3",NA,"4","B","b"
"3",NA,"3","B","b"
"3",NA,"4","D","d"
"3",NA,"4","A","a"
"3",NA,"3","D","d"
"3",NA,"4","C","c"
"3",NA,"3","A","a"
"4",NA,"4","B","b"
"4",NA,"3","C","c"
"4",NA,"4","D","d"
"4",NA,"3","B","b"
"4",NA,"3","D","d"
"4",NA,"4","A","a"
"4",NA,"3","A","a"
"4",NA,"4","C","c"
"5",NA,"5","C","c"
"5",NA,"6","D","d"
"5",NA,"6","A","a"
"5",NA,"5","A","a"
"5",NA,"5","B","b"
"5",NA,"6","C","c"
"5",NA,"6","B","b"
"5",NA,"5","D","d"
"6",NA,"6","D","d"
"6",NA,"5","C","c"
"6",NA,"5","A","a"
"6",NA,"6","A","a"
"6",NA,"6","C","c"
"6",NA,"5","B","b"
"6",NA,"5","D","d"
"6",NA,"6","B","b"
"7",NA,"7","B","b"
"7",NA,"7","B","b"
"7",NA,"7","C","c"
"7",NA,"7","C","c"
"7",NA,"7","D","d"
"7",NA,"7","D","d"
"7",NA,"7","A","a"
"7",NA,"7","A","a"
