"Run","Tag","Cag","Ani","Trt"
"1",114,"2","D","b"
"1",115,"2","F","b"
"1",116,"1","C","a"
"1",117,"1","E","a"
"2",114,"2","F","b"
"2",115,"2","D","b"
"2",116,"1","E","a"
"2",117,"1","C","a"
"3",114,"2","E","a"
"3",115,"2","C","a"
"3",116,"1","D","b"
"3",117,"1","B","b"
"4",114,"2","C","a"
"4",115,"2","E","a"
"4",116,"1","B","b"
"4",117,"1","D","b"
"5",114,"2","B","b"
"5",115,"2","A","a"
"5",116,"1","F","b"
"5",117,"1","A","a"
"6",114,"2","A","a"
"6",115,"2","B","b"
"6",116,"1","A","a"
"6",117,"1","F","b"
