"Run","Tag","Cag","Ani","Trt"
"1",113,"1","A","a"
"1",114,"1","F","c"
"1",115,"2","E","b"
"1",116,"2","A","a"
"1",117,"3","A","a"
"1",118,"3","E","b"
"1",119,"4","E","b"
"1",121,"4","F","c"
"2",113,"1","F","c"
"2",114,"1","A","a"
"2",115,"2","A","a"
"2",116,"2","E","b"
"2",117,"3","E","b"
"2",118,"3","A","a"
"2",119,"4","F","c"
"2",121,"4","E","b"
"3",113,"1","E","b"
"3",114,"1","C","c"
"3",115,"2","D","a"
"3",116,"2","F","c"
"3",117,"3","B","b"
"3",118,"3","C","c"
"3",119,"4","D","a"
"3",121,"4","A","a"
"4",113,"1","C","c"
"4",114,"1","E","b"
"4",115,"2","F","c"
"4",116,"2","D","a"
"4",117,"3","C","c"
"4",118,"3","B","b"
"4",119,"4","A","a"
"4",121,"4","D","a"
"5",113,"1","B","b"
"5",114,"1","D","a"
"5",115,"2","C","c"
"5",116,"2","B","b"
"5",117,"3","F","c"
"5",118,"3","D","a"
"5",119,"4","C","c"
"5",121,"4","B","b"
"6",113,"1","D","a"
"6",114,"1","B","b"
"6",115,"2","B","b"
"6",116,"2","C","c"
"6",117,"3","D","a"
"6",118,"3","F","c"
"6",119,"4","B","b"
"6",121,"4","C","c"
