"Run","Tag","Cag","Ani","Trt"
"1",114,"1","B","c"
"1",115,"1","A","b"
"1",116,"1","D","e"
"1",117,"1","C","d"
"2",114,"1","A","b"
"2",115,"1","B","c"
"2",116,"1","C","d"
"2",117,"1","D","e"
"3",114,"2","C","e"
"3",115,"2","D","a"
"3",116,"2","A","c"
"3",117,"2","B","d"
"4",114,"2","D","a"
"4",115,"2","C","e"
"4",116,"2","B","d"
"4",117,"2","A","c"
"5",114,"3","C","a"
"5",115,"3","A","d"
"5",116,"3","D","b"
"5",117,"3","B","e"
"6",114,"3","A","d"
"6",115,"3","C","a"
"6",116,"3","B","e"
"6",117,"3","D","b"
"7",114,"4","D","c"
"7",115,"4","A","e"
"7",116,"4","C","b"
"7",117,"4","B","a"
"8",114,"4","A","e"
"8",115,"4","D","c"
"8",116,"4","B","a"
"8",117,"4","C","b"
"9",114,"5","D","d"
"9",115,"5","B","b"
"9",116,"5","C","c"
"9",117,"5","A","a"
"10",114,"5","B","b"
"10",115,"5","D","d"
"10",116,"5","A","a"
"10",117,"5","C","c"
