"Run","Tag","Cag","Ani","Trt"
"1",113,"1","G","h"
"1",114,"2","C","e"
"1",115,"3","D","g"
"1",116,"4","E","a"
"1",117,"5","A","f"
"1",118,"6","E","c"
"1",119,"7","E","d"
"1",121,"8","B","b"
"2",113,"2","C","e"
"2",114,"1","G","h"
"2",115,"4","E","a"
"2",116,"3","D","g"
"2",117,"6","E","c"
"2",118,"5","A","f"
"2",119,"8","B","b"
"2",121,"7","E","d"
"3",113,"2","D","f"
"3",114,"1","C","d"
"3",115,"4","F","b"
"3",116,"3","B","e"
"3",117,"6","A","g"
"3",118,"5","C","h"
"3",119,"7","D","c"
"3",121,"8","A","a"
"4",113,"1","C","d"
"4",114,"2","D","f"
"4",115,"3","B","e"
"4",116,"4","F","b"
"4",117,"5","C","h"
"4",118,"6","A","g"
"4",119,"8","A","a"
"4",121,"7","D","c"
"5",113,"1","A","b"
"5",114,"2","F","h"
"5",115,"4","G","c"
"5",116,"3","F","a"
"5",117,"5","G","d"
"5",118,"6","G","e"
"5",119,"8","G","g"
"5",121,"7","G","f"
"6",113,"2","F","h"
"6",114,"1","A","b"
"6",115,"3","F","a"
"6",116,"4","G","c"
"6",117,"6","G","e"
"6",118,"5","G","d"
"6",119,"7","G","f"
"6",121,"8","G","g"
"7",113,"2","G","a"
"7",114,"1","B","c"
"7",115,"4","C","g"
"7",116,"3","C","f"
"7",117,"6","B","h"
"7",118,"5","E","b"
"7",119,"7","F","e"
"7",121,"8","D","d"
"8",113,"1","B","c"
"8",114,"2","G","a"
"8",115,"3","C","f"
"8",116,"4","C","g"
"8",117,"5","E","b"
"8",118,"6","B","h"
"8",119,"8","D","d"
"8",121,"7","F","e"
"9",113,"2","B","d"
"9",114,"1","D","e"
"9",115,"3","G","b"
"9",116,"4","B","f"
"9",117,"6","C","a"
"9",118,"5","B","g"
"9",119,"7","A","h"
"9",121,"8","C","c"
"10",113,"1","D","e"
"10",114,"2","B","d"
"10",115,"4","B","f"
"10",116,"3","G","b"
"10",117,"5","B","g"
"10",118,"6","C","a"
"10",119,"8","C","c"
"10",121,"7","A","h"
"11",113,"1","E","f"
"11",114,"2","E","g"
"11",115,"3","A","d"
"11",116,"4","D","h"
"11",117,"5","F","c"
"11",118,"6","D","b"
"11",119,"8","E","e"
"11",121,"7","B","a"
"12",113,"2","E","g"
"12",114,"1","E","f"
"12",115,"4","D","h"
"12",116,"3","A","d"
"12",117,"6","D","b"
"12",118,"5","F","c"
"12",119,"7","B","a"
"12",121,"8","E","e"
"13",113,"2","A","c"
"13",114,"1","F","g"
"13",115,"3","E","h"
"13",116,"4","A","e"
"13",117,"5","D","a"
"13",118,"6","F","d"
"13",119,"7","C","b"
"13",121,"8","F","f"
"14",113,"1","F","g"
"14",114,"2","A","c"
"14",115,"4","A","e"
"14",116,"3","E","h"
"14",117,"6","F","d"
"14",118,"5","D","a"
"14",119,"8","F","f"
"14",121,"7","C","b"
