"Run","Tag","Cag","Ani","Trt"
"1",113,"1","C","d"
"1",114,"1","B","c"
"1",115,"2","B","d"
"1",116,"2","A","c"
"1",117,"3","C","b"
"1",118,"3","B","a"
"1",119,"4","B","b"
"1",121,"4","A","a"
"2",113,"1","B","c"
"2",114,"1","C","d"
"2",115,"2","A","c"
"2",116,"2","B","d"
"2",117,"3","B","a"
"2",118,"3","C","b"
"2",119,"4","A","a"
"2",121,"4","B","b"
"3",113,"1","A","b"
"3",114,"1","A","b"
"3",115,"2","C","a"
"3",116,"2","C","a"
"3",117,"3","A","d"
"3",118,"3","A","d"
"3",119,"4","C","c"
"3",121,"4","C","c"
