"Run","Tag","Cag","Ani","Trt"
"1",114,"2","B","c"
"1",115,"2","D","e"
"1",116,"6","A","a"
"1",117,"6","D","d"
"2",114,"2","D","e"
"2",115,"2","B","c"
"2",116,"6","D","d"
"2",117,"6","A","a"
"3",114,"2","G","h"
"3",115,"2","E","f"
"3",116,"5","A","a"
"3",117,"5","F","g"
"4",114,"2","E","f"
"4",115,"2","G","h"
"4",116,"5","F","g"
"4",117,"5","A","a"
"5",114,"1","D","e"
"5",115,"1","F","g"
"5",116,"6","B","b"
"5",117,"6","G","h"
"6",114,"1","F","g"
"6",115,"1","D","e"
"6",116,"6","G","h"
"6",117,"6","B","b"
"7",114,"2","C","d"
"7",115,"1","E","f"
"7",116,"6","F","g"
"7",117,"5","B","b"
"8",114,"1","E","f"
"8",115,"2","C","d"
"8",116,"5","B","b"
"8",117,"6","F","g"
"9",114,"2","F","g"
"9",115,"1","G","h"
"9",116,"5","D","d"
"9",117,"6","C","c"
"10",114,"1","G","h"
"10",115,"2","F","g"
"10",116,"6","C","c"
"10",117,"5","D","d"
"11",114,"1","B","c"
"11",115,"2","A","a"
"11",116,"5","G","h"
"11",117,"6","E","e"
"12",114,"2","A","a"
"12",115,"1","B","c"
"12",116,"6","E","e"
"12",117,"5","G","h"
"13",114,"1","C","d"
"13",115,"1","A","b"
"13",116,"5","C","c"
"13",117,"5","E","f"
"14",114,"1","A","b"
"14",115,"1","C","d"
"14",116,"5","E","f"
"14",117,"5","C","c"
"15",114,"3","E","f"
"15",115,"4","G","h"
"15",116,"8","A","a"
"15",117,"7","D","d"
"16",114,"4","G","h"
"16",115,"3","E","f"
"16",116,"7","D","d"
"16",117,"8","A","a"
"17",114,"4","E","f"
"17",115,"4","C","c"
"17",116,"7","E","e"
"17",117,"7","G","h"
"18",114,"4","C","c"
"18",115,"4","E","f"
"18",116,"7","G","h"
"18",117,"7","E","e"
"19",114,"3","A","a"
"19",115,"4","D","e"
"19",116,"7","F","f"
"19",117,"8","B","b"
"20",114,"4","D","e"
"20",115,"3","A","a"
"20",116,"8","B","b"
"20",117,"7","F","f"
"21",114,"3","F","g"
"21",115,"3","D","e"
"21",116,"8","D","d"
"21",117,"8","F","f"
"22",114,"3","D","e"
"22",115,"3","F","g"
"22",116,"8","F","f"
"22",117,"8","D","d"
"23",114,"4","F","g"
"23",115,"3","B","b"
"23",116,"8","E","e"
"23",117,"7","C","c"
"24",114,"3","B","b"
"24",115,"4","F","g"
"24",116,"7","C","c"
"24",117,"8","E","e"
"25",114,"3","G","h"
"25",115,"3","C","d"
"25",116,"7","B","b"
"25",117,"7","A","a"
"26",114,"3","C","d"
"26",115,"3","G","h"
"26",116,"7","A","a"
"26",117,"7","B","b"
"27",114,"4","B","b"
"27",115,"4","A","a"
"27",116,"8","C","c"
"27",117,"8","G","g"
"28",114,"4","A","a"
"28",115,"4","B","b"
"28",116,"8","G","g"
"28",117,"8","C","c"
