"Run","Tag","Cag","Ani","Trt"
"1",113,"2","C","f"
"1",114,"1","B","e"
"1",115,"1","D","g"
"1",116,"2","A","b"
"1",117,"1","C","f"
"1",118,"2","D","g"
"1",119,"2","B","c"
"1",121,"1","A","d"
"2",113,"1","B","e"
"2",114,"2","C","f"
"2",115,"2","A","b"
"2",116,"1","D","g"
"2",117,"2","D","g"
"2",118,"1","C","f"
"2",119,"1","A","d"
"2",121,"2","B","c"
"3",113,"4","D","g"
"3",114,"3","B","c"
"3",115,"3","C","d"
"3",116,"4","C","e"
"3",117,"3","D","e"
"3",118,"4","B","c"
"3",119,"4","A","a"
"3",121,"3","A","b"
"4",113,"3","B","c"
"4",114,"4","D","g"
"4",115,"4","C","e"
"4",116,"3","C","d"
"4",117,"4","B","c"
"4",118,"3","D","e"
"4",119,"3","A","b"
"4",121,"4","A","a"
"5",113,"5","A","a"
"5",114,"6","B","b"
"5",115,"5","B","c"
"5",116,"6","D","f"
"5",117,"5","C","d"
"5",118,"6","A","a"
"5",119,"5","D","f"
"5",121,"6","C","e"
"6",113,"6","B","b"
"6",114,"5","A","a"
"6",115,"6","D","f"
"6",116,"5","B","c"
"6",117,"6","A","a"
"6",118,"5","C","d"
"6",119,"6","C","e"
"6",121,"5","D","f"
"7",113,"7","C","d"
"7",114,"7","C","d"
"7",115,"7","A","a"
"7",116,"7","A","a"
"7",117,"7","B","b"
"7",118,"7","B","b"
"7",119,"7","D","g"
"7",121,"7","D","g"
