"Run","Tag","Cag","Ani","Trt"
"1",NA,"1","C","d"
"1",NA,"2","A","c"
"1",NA,"1","D","e"
"1",NA,"2","D","a"
"1",NA,"1","B","c"
"1",NA,"2","C","e"
"1",NA,"2","B","d"
"1",NA,"1","A","b"
"2",NA,"2","A","c"
"2",NA,"1","C","d"
"2",NA,"2","D","a"
"2",NA,"1","D","e"
"2",NA,"2","C","e"
"2",NA,"1","B","c"
"2",NA,"1","A","b"
"2",NA,"2","B","d"
"3",NA,"4","B","a"
"3",NA,"3","B","e"
"3",NA,"3","D","b"
"3",NA,"4","D","c"
"3",NA,"4","C","b"
"3",NA,"3","A","d"
"3",NA,"3","C","a"
"3",NA,"4","A","e"
"4",NA,"3","B","e"
"4",NA,"4","B","a"
"4",NA,"4","D","c"
"4",NA,"3","D","b"
"4",NA,"3","A","d"
"4",NA,"4","C","b"
"4",NA,"4","A","e"
"4",NA,"3","C","a"
"5",NA,"5","B","b"
"5",NA,"5","B","b"
"5",NA,"5","D","d"
"5",NA,"5","D","d"
"5",NA,"5","A","a"
"5",NA,"5","A","a"
"5",NA,"5","C","c"
"5",NA,"5","C","c"
